id,texto,textos_originales,autores,pmids,n_autores,n_papers
aff_03e2d56d2286973e,"Universidad de Buenos Aires, Instituto de Investigaciones Medicas A. Lanari, Laboratorio de Nefrología Experimental y Bioquímica Molecular, Combatientes de Malvinas 3150, Buenos Aires, 1427, Argentina. ibarraf@hotmail.com.","[""Universidad de Buenos Aires, Instituto de Investigaciones Medicas A. Lanari, Laboratorio de Nefrología Experimental y Bioquímica Molecular, Combatientes de Malvinas 3150, Buenos Aires, 1427, Argentina. ibarraf@hotmail.com.""]","[""Ibarra F""]","[""37676461""]",1,1
aff_03ead5288da3ca93,"Laboratorio de Neurofisiopatología, Departamento de Fisiología, Facultad de Medicina, Instituto de Fisiología y Biofísica Bernardo Houssay (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Laboratorio de Neurofisiopatología, Departamento de Fisiología, Facultad de Medicina, Instituto de Fisiología y Biofísica Bernardo Houssay (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Goldstein J"", ""Pinto A""]","[""30619183""]",2,1
aff_04209ae6772bdd1b,"CONICET-Universidad de Buenos Aires, Instituto de Investigaciones Biomédicas (INBIOMED), Laboratorio de Efectos Biológicos de Contaminantes Ambientales, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Físico-matemática, Buenos Aires, Argentina. Electronic address: noeliamiret@hotmail.com.ar.","[""CONICET-Universidad de Buenos Aires, Instituto de Investigaciones Biomédicas (INBIOMED), Laboratorio de Efectos Biológicos de Contaminantes Ambientales, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Físico-matemática, Buenos Aires, Argentina. Electronic address: noeliamiret@hotmail.com.ar.""]","[""Miret N""]","[""40617562""]",1,1
aff_044d6005de17a336,"Alzheimer's Association, Chicago, Illinois, USA.","[""Alzheimer's Association, Chicago, Illinois, USA.""]","[""Daven M"", ""Deaner N""]","[""42675027""]",2,1
aff_0481bba69fd0c0a4,"Red Iberoamericana de Alteraciones Vasculares en Trastornos del Embarazo, Chillán, Chile; Facultad de Medicina, Pontificia Universidad Javeriana, Bogotá, Colombia.","[""Red Iberoamericana de Alteraciones Vasculares en Trastornos del Embarazo, Chillán, Chile; Facultad de Medicina, Pontificia Universidad Javeriana, Bogotá, Colombia.""]","[""Garcia-Robles R""]","[""41242030""]",1,1
aff_0497b348a8eb9b11,"Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina; Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica (IFIBIO) Houssay, Buenos Aires, Argentina. Electronic address: gregorio.galinanes@unige.ch.","[""Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina; Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica (IFIBIO) Houssay, Buenos Aires, Argentina. Electronic address: gregorio.galinanes@unige.ch.""]","[""Galinanes G""]","[""28476642""]",1,1
aff_05111e08ca7b6bf2,"University of Buenos Aires, Faculty of Medicine, Center of Pharmacological and Botanical Studies [Centro de Estudios Farmacológicos y Botánicos (CEFYBO)-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)], Buenos Aires, Argentina.","[""University of Buenos Aires, Faculty of Medicine, Center of Pharmacological and Botanical Studies [Centro de Estudios Farmacológicos y Botánicos (CEFYBO)-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)], Buenos Aires, Argentina.""]","[""Farina M""]","[""40642510""]",1,1
aff_0583d5ae97783aaa,"Cátedra de Fisiopatología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires 1113, Argentina.","[""Cátedra de Fisiopatología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires 1113, Argentina.""]","[""Zotta E""]","[""34437406""]",1,1
aff_05c0608ea7b8a62d,"Clínica Pediátrica, Hospital de Niños Dr. Ricardo Gutiérrez, Buenos Aires, Argentina.","[""Clínica Pediátrica, Hospital de Niños Dr. Ricardo Gutiérrez, Buenos Aires, Argentina.""]","[""Baleani S"", ""Vainstein E""]","[""36464947""]",2,1
aff_05cd3718da2b1b3a,"Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Argentina.","[""Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Argentina.""]","[""Sierra M""]","[""31018904""]",1,1
aff_060898f8edfee759,"Kelsey Research Foundation, MHSA, Houston, Texas, USA.","[""Kelsey Research Foundation, MHSA, Houston, Texas, USA.""]","[""Alexander A""]","[""42675027""]",1,1
aff_0685d4d5069d0a09,"Laboratorio de Investigaciones en Biotecnología Sustentable (LIBioS), Departamento de Ciencia y Tecnología, Universidad Nacional de Quilmes, Buenos Aires, Argentina.","[""Laboratorio de Investigaciones en Biotecnología Sustentable (LIBioS), Departamento de Ciencia y Tecnología, Universidad Nacional de Quilmes, Buenos Aires, Argentina.""]","[""Trelles J""]","[""28643674""]",1,1
aff_06a0edf925701fdf,"Douglas Mental Health Research Institute, McGill University, Montreal, QC H4H 1R3, Canada.","[""Douglas Mental Health Research Institute, McGill University, Montreal, QC H4H 1R3, Canada.""]","[""Armony J""]","[""36587288""]",1,1
aff_070354f43eb57274,"Departamento de Fisiologia e Biofísica, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil.","[""Departamento de Fisiologia e Biofísica, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil.""]","[""Verano-Braga T""]","[""41709136""]",1,1
aff_075fd74b0cc4e63f,"Instituto de Biomedicina de Sevilla (IBiS), Hospital Universitario Virgen del Rocío/CSIC, Universidad de Sevilla, Seville, Spain.","[""Instituto de Biomedicina de Sevilla (IBiS), Hospital Universitario Virgen del Rocío/CSIC, Universidad de Sevilla, Seville, Spain.""]","[""Echevarria M"", ""Garcia-Miranda P""]","[""34263427""]",2,1
aff_0795be649c6b7425,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina.","[""CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina.""]","[""Amaral M"", ""Giron D"", ""Gomez F"", ""Marques da Silva W"", ""Sacerdoti F""]","[""42347511""]",5,1
aff_07a0677273bc7e0d,"Department of Internal Medicine, Pulmonary and Sleep Medicine Service, Austral University Hospital, Buenos Aires, Argentina.","[""Department of Internal Medicine, Pulmonary and Sleep Medicine Service, Austral University Hospital, Buenos Aires, Argentina.""]","[""Perez-Chada D""]","[""35368282""]",1,1
aff_07a7d8ddbf990adc,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Instituto de Fisiología y Biofísica B. Houssay IFIBIO-Houssay-CONICET, Laboratorio de Fisiología Renal, Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Instituto de Fisiología y Biofísica B. Houssay IFIBIO-Houssay-CONICET, Laboratorio de Fisiología Renal, Buenos Aires, Argentina.""]","[""Ibarra F""]","[""40577142""]",1,1
aff_07bee886c037745e,"Laboratorio de Neurofarmacología de la Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, UBA. Junín, 5th Floor (C1113AAD), 956, Buenos Aires, Argentina. mboccia@ffyb.uba.ar.","[""Laboratorio de Neurofarmacología de la Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, UBA. Junín, 5th Floor (C1113AAD), 956, Buenos Aires, Argentina. mboccia@ffyb.uba.ar.""]","[""Boccia M""]","[""28213811""]",1,1
aff_07bf92a9139dfeda,"IFIBIO Houssay, Systems Neuroscience Group, Department of Physiology and Biophysics, School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.","[""IFIBIO Houssay, Systems Neuroscience Group, Department of Physiology and Biophysics, School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.""]","[""Della-Maggiore V"", ""Villalta J""]","[""26656723""]",2,1
aff_07e60caea64fcd26,"Hospital Nacional Prof. A Posadas, Argentina.","[""Hospital Nacional Prof. A Posadas, Argentina.""]","[""Balconi S"", ""Corominas A"", ""Ortiz M""]","[""29405971""]",3,1
aff_080c88aabeead937,"Departamento de Obstetricia y Puericultura, Facultad de Ciencias de la Salud, Universidad de Atacama, Copiapó, Chile.","[""Departamento de Obstetricia y Puericultura, Facultad de Ciencias de la Salud, Universidad de Atacama, Copiapó, Chile.""]","[""Castro E""]","[""37274341""]",1,1
aff_08117b784c69e778,"Instituto de Química, Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile.","[""Instituto de Química, Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile.""]","[""Aguilar L"", ""Mellado M""]","[""33703954""]",2,1
aff_083ec23f412eaf11,"Instituto de Fisiología y Biofísica Prof. Bernardo Houssay (IFIBIO-Houssay), UBA y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina. pfaillace@qb.ffyb.uba.ar.","[""Instituto de Fisiología y Biofísica Prof. Bernardo Houssay (IFIBIO-Houssay), UBA y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina. pfaillace@qb.ffyb.uba.ar.""]","[""Faillace M""]","[""28710541""]",1,1
aff_08498a86af13ef24,"Department of Biomedical Informatics, The University of Utah, 421 Wakara Way, Suite 140, Salt Lake City, UT 84108, USA. Electronic address: julio.facelli@utah.edu.","[""Department of Biomedical Informatics, The University of Utah, 421 Wakara Way, Suite 140, Salt Lake City, UT 84108, USA. Electronic address: julio.facelli@utah.edu.""]","[""Facelli J""]","[""30466042""]",1,1
aff_085c8dbcfdcf5aea,"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: celialarramendy@gmail.com.","[""Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: celialarramendy@gmail.com.""]","[""Larramendy C""]","[""25963416""]",1,1
aff_0864a01dd26b2da3,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay CONICET), Paraguay, 2155, Buenos Aires, 1121, Argentina.","[""Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay CONICET), Paraguay, 2155, Buenos Aires, 1121, Argentina.""]","[""Katz M""]","[""40603573""]",1,1
aff_0874cfce70575f5f,"Cardiff University Brain Research Imaging Centre (CUBRIC), School of Psychology and School of Computer Science and Informatics, Cardiff University, Cardiff, United Kingdom.","[""Cardiff University Brain Research Imaging Centre (CUBRIC), School of Psychology and School of Computer Science and Informatics, Cardiff University, Cardiff, United Kingdom.""]","[""Palombo M""]","[""42313886""]",1,1
aff_08b48b366bbd1b54,"Grupo de Neurociencia de Sistemas, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-Houssay), Departamento de Ciencias Fisiológicas, Facultad de Medicina, CONICET-Universidad de Buenos Aires, Buenos Aires C1121, Argentina.","[""Grupo de Neurociencia de Sistemas, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO-Houssay), Departamento de Ciencias Fisiológicas, Facultad de Medicina, CONICET-Universidad de Buenos Aires, Buenos Aires C1121, Argentina.""]","[""Valverde E""]","[""39851628""]",1,1
aff_08ca75b3ceb7596c,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Laboratorio de Neurofisiopatología, Facultad de Medicina, Universidad de Buenos Aires, Instituto de Fisiología y Biofísica ""Houssay"" (IFIBIO), Ciudad de Buenos Aires, Argentina.","[""Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Laboratorio de Neurofisiopatología, Facultad de Medicina, Universidad de Buenos Aires, Instituto de Fisiología y Biofísica \""Houssay\"" (IFIBIO), Ciudad de Buenos Aires, Argentina.""]","[""Goldstein J"", ""Pinto A"", ""Ramos-Aloi A""]","[""41489386""]",3,1
aff_08dfbc32dbf6da8c,"Laboratorio de Cronobiología, Departamento de Ciencia y Tecnología, Universidad Nacional de Quilmes/ Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.","[""Laboratorio de Cronobiología, Departamento de Ciencia y Tecnología, Universidad Nacional de Quilmes/ Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.""]","[""Agostino P""]","[""41605341""]",1,1
aff_08e1e3ae9c5aec56,"Department of Biomedical Engineering, Boston University, Boston, MA, USA. andrew.brughera@mq.edu.au.","[""Department of Biomedical Engineering, Boston University, Boston, MA, USA. andrew.brughera@mq.edu.au.""]","[""Brughera A""]","[""34741225""]",1,1
aff_08e828390736715f,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina. estefania.bello@gmail.com.","[""Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina. estefania.bello@gmail.com.""]","[""Bello E""]","[""39833563""]",1,1
aff_091dc03894b4b08c,"School of Psychology, University of Sussex, Brighton, United Kingdom.","[""School of Psychology, University of Sussex, Brighton, United Kingdom.""]","[""Merlo E""]","[""33519685""]",1,1
aff_093812e66c22cd56,"Laboratorio de Neuroinmunomodulación y Oncología Molecular, Instituto de Investigaciones Biomédicas (BIOMED), Pontificia Universidad Católica Argentina (UCA), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Ciudad Autónoma de Buenos Aires, Argentina.","[""Laboratorio de Neuroinmunomodulación y Oncología Molecular, Instituto de Investigaciones Biomédicas (BIOMED), Pontificia Universidad Católica Argentina (UCA), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Ciudad Autónoma de Buenos Aires, Argentina.""]","[""Cremaschi G""]","[""38827994""]",1,1
aff_09404bf9fd3ac417,"Human Genetics Institute, Facultad De Medicina, Pontificia Universidad Javeriana , Bogotá, Colombia.","[""Human Genetics Institute, Facultad De Medicina, Pontificia Universidad Javeriana , Bogotá, Colombia.""]","[""Ayala-Ramirez P""]","[""32482148""]",1,1
aff_0954eb3b22360885,"Instituto de Neurociencias y Centro Interdisciplinario de Neurociencia de Valparaíso, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso 2340000, Chile.","[""Instituto de Neurociencias y Centro Interdisciplinario de Neurociencia de Valparaíso, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso 2340000, Chile.""]","[""Chavez A""]","[""39855537""]",1,1
aff_09585924ce1b00ce,"Pathology Services, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.","[""Pathology Services, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.""]","[""Iotti A"", ""Zotta E""]","[""28473934""]",2,1
aff_09c035911b86ae00,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina.","[""CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina.""]","[""Vassallu F""]","[""41571758""]",1,1
aff_09d5ca6c7f06ed0c,"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX)-CONICET, Academia Nacional de Medicina, J.A. Pacheo de Melo 3081, C1425 CABA, Argentina.","[""Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX)-CONICET, Academia Nacional de Medicina, J.A. Pacheo de Melo 3081, C1425 CABA, Argentina.""]","[""Bernal A"", ""Fernandez-Brando R""]","[""37704516""]",2,1
aff_0a22ef151a307c94,"Universidad de Buenos Aires, Consejo Nacional de lnvestigaciones Científicas y Técnicas, Instituto de Química y Fisicoquímica Biológicas (IQUIFIB), Departamento de Química Biológica, Facultad de Farmacia y Bioquímica, Buenos Aires, Argentina. Electronic address: jmiquet@qb.ffyb.uba.ar.","[""Universidad de Buenos Aires, Consejo Nacional de lnvestigaciones Científicas y Técnicas, Instituto de Química y Fisicoquímica Biológicas (IQUIFIB), Departamento de Química Biológica, Facultad de Farmacia y Bioquímica, Buenos Aires, Argentina. Electronic address: jmiquet@qb.ffyb.uba.ar.""]","[""Miquet J""]","[""32259636""]",1,1
aff_0a4eb0fde292260f,"Laboratorio de Biomembranas, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Facultad de Medicina, Universidad de Buenos Aires-CONICET, Buenos Aires, Argentina. E-mail: rdorr@fmed.uba.ar.","[""Laboratorio de Biomembranas, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Facultad de Medicina, Universidad de Buenos Aires-CONICET, Buenos Aires, Argentina. E-mail: rdorr@fmed.uba.ar.""]","[""Dorr R""]","[""33906140""]",1,1
aff_0a5c427088f59e74,"Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires C1113AAD, Argentina.","[""Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires C1113AAD, Argentina.""]","[""Damiano A""]","[""42123443""]",1,1
aff_0a7ad559aae333cd,"Laboratory of Vascular Biology, Institute of Health Sciences and Health, Universidad Federal De Mato Grosso, Barra Do Garcas, Brazil.","[""Laboratory of Vascular Biology, Institute of Health Sciences and Health, Universidad Federal De Mato Grosso, Barra Do Garcas, Brazil.""]","[""Giachini F"", ""Lima V"", ""Souto P""]","[""32129110""]",3,1
aff_0ab2c57121296919,"Department of Physiology, University of Bern, Bern 3012, Switzerland.","[""Department of Physiology, University of Bern, Bern 3012, Switzerland.""]","[""Acuna M"", ""De Luna P"", ""Falkowska M"", ""Kasanetz F"", ""Nevian T""]","[""37252991""]",5,1
aff_0ab9a1c91151e2e2,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, 2155 Paraguay St, Buenos Aires, 1121, Argentina.","[""Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, 2155 Paraguay St, Buenos Aires, 1121, Argentina.""]","[""Belforte J"", ""Coll C"", ""Keifman E"", ""Paz R"", ""Tubert C""]","[""36241384""]",5,1
aff_0b32686ff7c79632,"Instituto de Genética Humana, Facultad de Medicina, Pontificia Universidad Javeriana, Bogotá, Colombia; Red Iberoamericana de Alteraciones Vasculares en Trastornos del Embarazo, Chillán, Chile. Electronic address: payala@javeriana.edu.co.","[""Instituto de Genética Humana, Facultad de Medicina, Pontificia Universidad Javeriana, Bogotá, Colombia; Red Iberoamericana de Alteraciones Vasculares en Trastornos del Embarazo, Chillán, Chile. Electronic address: payala@javeriana.edu.co.""]","[""Ayala-Ramirez P""]","[""41242030""]",1,1
aff_0bb962fc100154b9,"Unidad Académica Fisiología, Facultad de Medicina, Universidad de la República Urugua, Gral. Flores 2125, Montevideo 11800, Uruguay. Electronic address: dolazabal@fmed.edu.uy.","[""Unidad Académica Fisiología, Facultad de Medicina, Universidad de la República Urugua, Gral. Flores 2125, Montevideo 11800, Uruguay. Electronic address: dolazabal@fmed.edu.uy.""]","[""Olazabal D""]","[""42097396""]",1,1
aff_0c0d06b026218758,"Universidad de Buenos Aires, Laboratorio de Riñón Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Laboratorio de Riñón Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Buenos Aires, Argentina.""]","[""Arrizurieta E"", ""Azurmendi P"", ""Di Ciano L"", ""Ibarra F"", ""Oddo E"", ""Vlachovsky S""]","[""34320266""]",6,1
aff_0c86d5e689f513e2,"Instituto de Virología/INVIT-CICVyA, National Institute of Agricultural Technology (INTA)-Castelar, Buenos Aires, Argentina, 1686.","[""Instituto de Virología/INVIT-CICVyA, National Institute of Agricultural Technology (INTA)-Castelar, Buenos Aires, Argentina, 1686.""]","[""Gonzalez D""]","[""33685676""]",1,1
