PMID,Author,Affiliation
42611393,Marques da Silva W,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO HOUSSAY), Buenos Aires, Argentina."
42611393,Dujovne N,"Departamento de Endocrinología, Hospital de Pediatría S.A.M.I.C. Prof. Dr. Juan P. Garrahan, Buenos Aires, Argentina."
42611393,Rivolta C,"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Microbiología, Inmunología, Biotecnología y Genética/Cátedra de Genética, Buenos Aires, Argentina."
42611393,Rivolta C,"CONICET-Universidad de Buenos Aires, Instituto de Inmunología, Genética y Metabolismo (INIGEM), Buenos Aires, Argentina."
42611393,Targovnik H,"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Microbiología, Inmunología, Biotecnología y Genética/Cátedra de Genética, Buenos Aires, Argentina. htargovn@ffyb.uba.ar."
42601945,Valenzuela-Torres P,"National Polytechnic Institute (IPN), CIIDIR-Durango, Academia de Genómica, Durango, Mexico."
42601945,Sosa-Macias M,"National Polytechnic Institute (IPN), CIIDIR-Durango, Academia de Genómica, Durango, Mexico."
42601945,Burgos C,"Universidad de Concepcion Departamento de Fisiologia, Concepción, Chile."
42601945,Damiano A,"Departamento de Ciencias Biológicas, facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina."
42601945,Damiano A,"IFIBIO Houssay-CONICET Universidad de Buenos Aires, Buenos Aires, Argentina."
42601945,Reynoso M,"Departamento de Ciencias Biológicas, facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina."
42601945,Reynoso M,"IFIBIO Houssay-CONICET Universidad de Buenos Aires, Buenos Aires, Argentina."
42601945,Simental-Mendia L,"Instituto Mexicano del Seguro Social, Unidad de Investigación Durango, Durango, Mexico."
42601945,Acurio J,"Vascular Physiology Laboratory, Department of Basic Science, Universidad del Bio Bio, Chillán, Chile."
42601945,Acurio J,"Consortium for Research and Innovation Neurovascular, (NEUROVAS), Chillán, Chile."
42601945,Marchat L,"Instituto Politecnico Nacional Escuela Nacional de Medicina y Homeopatia, Mexico City, Mexico."
42601945,Escudero C,"Vascular Physiology Laboratory, Department of Basic Science, Universidad del Bio Bio, Chillán, Chile."
42601945,Escudero C,"Consortium for Research and Innovation Neurovascular, (NEUROVAS), Chillán, Chile."
42601945,Galaviz-Hernandez C,"National Polytechnic Institute (IPN), CIIDIR-Durango, Academia de Genómica, Durango, Mexico."
42576265,Politi M,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
42576265,Politi M,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina."
42576265,Blanco M,"Department of Cardiology, Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
42576265,Fonseca S,"Department of Cardiology, Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
42576265,Ferreyra R,"Department of Cardiology, Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
42576265,Bortman G,"Department of Cardiology, Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
42576265,Piazza A,"Department of Cardiology, Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
42576265,Di Giusto G,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
42576265,Di Giusto G,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina."
42576265,Capurro C,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
42576265,Capurro C,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina."
42570776,Alberquilla S,"Cajal Neuroscience Center, Consejo Superior de Investigaciones Científicas (CSIC), Alcalá de Henares, Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain."
42570776,Salas-Prieto C,"Cajal Neuroscience Center, Consejo Superior de Investigaciones Científicas (CSIC), Alcalá de Henares, Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain."
42570776,Merino-Serrais P,"Cajal Neuroscience Center, Consejo Superior de Investigaciones Científicas (CSIC), Alcalá de Henares, Madrid, Spain; Laboratorio de Circuitos Neuronales, Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Spain."
42570776,Murer M,"Universidad de Buenos Aires and CONICET, Instituto de Fisiología y Biofísica (IFIBIO) Houssay, Buenos Aires, Argentina."
42570776,Moratalla R,"Cajal Neuroscience Center, Consejo Superior de Investigaciones Científicas (CSIC), Alcalá de Henares, Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain. Electronic address: moratalla@cajal.csic.es."
42404802,Nieva G,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
42404802,Nieva G,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42404802,Vassallu F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
42404802,Vassallu F,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42404802,Depino A,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología, Biología Molecular y Neurociencias (IFIBYNE), Buenos Aires, Argentina."
42404802,Depino A,"Facultad de Ciencias Exactas y Naturales, Departamento de Biodiversidad y Biología Experimental, Universidad de Buenos Aires, Buenos Aires, Argentina."
42404802,Netti V,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42404802,Netti V,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
42404802,Igaz L,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
42404802,Igaz L,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42347511,Gomez F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina."
42347511,Gomez F,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina."
42347511,Luz D,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Luz D,"Centro de Desenvolvimento de Anticorpos, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Chinen I,"Infectious Hazard Management Unit, Public Health Department, Pan American Health Organization, Washington DC 20037, USA."
42347511,Giron D,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina."
42347511,Giron D,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina."
42347511,Ferreira R,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Henrique C,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Bom A,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Bom A,"Centro de Desenvolvimento de Anticorpos, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Henrique I,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Marques da Silva W,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina."
42347511,Marques da Silva W,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina."
42347511,Sacerdoti F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina."
42347511,Sacerdoti F,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina."
42347511,Miliwebsky E,"Servicio Fisiopatogenia, Departamento Bacteriología, Instituto Nacional de Enfermedades Infecciosas ANLIS ""Dr. Carlos G. Malbrán"", Buenos Aires C1282 AFF, Argentina."
42347511,Chen G,"Terrence Donnelly Centre for Cellular and Biomolecular Research, University of Toronto, Toronto, ON M5S 2Z9, Canada."
42347511,Carbonari C,"Servicio Fisiopatogenia, Departamento Bacteriología, Instituto Nacional de Enfermedades Infecciosas ANLIS ""Dr. Carlos G. Malbrán"", Buenos Aires C1282 AFF, Argentina."
42347511,Sidhu S,"Terrence Donnelly Centre for Cellular and Biomolecular Research, University of Toronto, Toronto, ON M5S 2Z9, Canada."
42347511,Piazza R,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Piazza R,"Centro de Desenvolvimento de Anticorpos, Instituto Butantan, São Paulo, SP 05503-900, Brazil."
42347511,Amaral M,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina."
42347511,Amaral M,"CONICET-Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121 ABG, Argentina."
42327001,Reynoso M,"Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina."
42327001,Reynoso M,"Departamento de Fisicomatemática, Cátedra de Matemática, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina."
42327001,Corominas A,"Hospital Nacional Prof. A Posadas, El Palomar, Buenos Aires, Argentina."
42327001,Solimine F,"Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina."
42327001,Ferreiros A,"Hospital Nacional Prof. A Posadas, El Palomar, Buenos Aires, Argentina."
42327001,Casale R,"Hospital Nacional Prof. A Posadas, El Palomar, Buenos Aires, Argentina."
42327001,Damiano A,"Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina."
42327001,Damiano A,"Laboratorio de Biología de la Reproducción, Facultad de Medicina, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)-Universidad de Buenos Aires, Buenos Aires, Argentina."
42313886,Griffa G,"IFIBIO Houssay, School of Medicine, Department of Physiology, University of Buenos Aires, Buenos Aires, Argentina."
42313886,Palombo M,"Cardiff University Brain Research Imaging Centre (CUBRIC), School of Psychology and School of Computer Science and Informatics, Cardiff University, Cardiff, United Kingdom."
42313886,Yeffal A,"IFIBIO Houssay, School of Medicine, Department of Physiology, University of Buenos Aires, Buenos Aires, Argentina."
42313886,Yeffal A,"ICIFI School of Science and Technology (ECyT), University of San Martín, Buenos Aires, Argentina."
42313886,Lee H,"Athinoula A. Martinos Center for Biomedical Imaging, Department of Radiology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, United States of America."
42313886,Solano A,"IFIBIO Houssay, School of Medicine, Department of Physiology, University of Buenos Aires, Buenos Aires, Argentina."
42313886,Solano A,"ICIFI School of Science and Technology (ECyT), University of San Martín, Buenos Aires, Argentina."
42313886,Huang S,"Athinoula A. Martinos Center for Biomedical Imaging, Department of Radiology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, United States of America."
42313886,Della-Maggiore V,"IFIBIO Houssay, School of Medicine, Department of Physiology, University of Buenos Aires, Buenos Aires, Argentina."
42313886,Della-Maggiore V,"ICIFI School of Science and Technology (ECyT), University of San Martín, Buenos Aires, Argentina."
42313886,Della-Maggiore V,"Department of Neurology and Neurosurgery, McGill University, Montreal, Quebec, Canada."
42134656,Vassallu F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42134656,Lopez M,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42134656,Lopez Ambrosioni F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42134656,Casal J,"CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina; Pontificia Universidad Católica Argentina, Buenos Aires, Argentina."
42134656,Caltana L,"IBCN (CONICET), University of Buenos Aires School of Medicine, Buenos Aires, Argentina."
42134656,Igaz L,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina. Electronic address: lmuller@fmed.uba.ar."
42123443,Enriquez-Mendiola D,"Genomics Academy, CIIDIR-Durango, Instituto Politécnico Nacional, Durango 34220, Mexico."
42123443,Sifuentes-Garcia J,"Genomics Academy, CIIDIR-Durango, Instituto Politécnico Nacional, Durango 34220, Mexico."
42123443,Barragan-Zuniga L,"Centro Estatal de Cancerología, Secretaria de Salud de Durango, Durango 34000, Mexico."
42123443,Vertiz-Hernandez A,"Unidad Académica Regional Altiplano, Universidad Autónoma de San Luis Potosí, San Luis Potosí 78600, Mexico."
42123443,Lazalde-Ramos B,"Maestría en Ciencia y Tecnología Química, Unidad Académica de Ciencias Químicas, Universidad Autónoma de Zacatecas, Zacatecas 98160, Mexico."
42123443,Damiano A,"Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires C1113AAD, Argentina."
42123443,Damiano A,"Instituto de Fisiología y Biofísica Bernardo Houssay, Universidad de Buenos Aires-CONICET, Buenos Aires C1121ABG, Argentina."
42123443,Galaviz-Hernandez C,"Genomics Academy, CIIDIR-Durango, Instituto Politécnico Nacional, Durango 34220, Mexico."
42123443,Sosa-Macias M,"Genomics Academy, CIIDIR-Durango, Instituto Politécnico Nacional, Durango 34220, Mexico."
42097396,Aguilar L,"Facultad de Ciencias de la Salud, Universidad Continental, Av. Alfredo Mendiola 5210, Lima, Peru. Electronic address: laguilar@continental.edu.pe."
42097396,Belforte J,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, 2155 Paraguay st, 7 floor, Ciudad Autónoma de Buenos Aires 1121, Argentina; Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), UBA-CONICET. 2155 Paraguay st, 7 Floor, Ciudad Autónoma de Buenos Aires 1121, Argentina. Electronic address: jbelforte@fmed.uba.ar."
42097396,Canteras N,"Departamento de Anatomía, Instituto de Ciências Biomédicas, Universidade de São Paulo, SP, Brazil. Electronic address: newton@icb.usp.br."
42097396,Cardenas F,"Laboratorio de Neurociencia y Comportamiento, Universidad de los Andes. Cra 1 #18A-12, Aguas 111711, Bogotá, Colombia. Electronic address: lucarden@uniandes.edu.co."
42097396,Carreira M,"Institute of Scientific Research and High Technology Services of Panama, Republic of Panama. Electronic address: mariabcarreirafranceschi@gmail.com."
42097396,Duenas Z,"Grupo de Neurobiología, Fisiología y Comportamiento, Departamento de Ciencias Fisiológicas, Facultad de Medicina, Universidad Nacional de Colombia. Carrera 30 No. 45-03, Edificio 471, Bogotá, DC, Colombia. Electronic address: zjduenasg@unal.edu.co."
42097396,Montiel J,"Laboratorio de Neurociencias Integradas, Centro de Investigación Biomédica, Facultad de Medicina, Universidad Diego Portales. Ejército Libertador 141, CP 8370007 Santiago, Chile. Electronic address: juan.montiel@udp.cl."
42097396,Pertusa M,"Departamento de Biología, Facultad de Química y Biología, Universidad de Santiago de Chile, Santiago, Chile. Electronic address: maria.pertusa@usach.cl."
42097396,Ramos A,"IBCN UBA-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Calle Paraguay 2155 3er piso (1121), Ciudad de Buenos Aires, Argentina. Electronic address: jramos@fmed.uba.ar."
42097396,Sanchez-Vincitore L,"Instituto de Neurociencia Aplicada, Universidad Iberoamericana (UNIBE), Calle Majoma N. 13, Los Ríos, Santo Domingo, the Dominican Republic. Electronic address: l.sanchez1@prof.unibe.edu.do."
42097396,Rodriguez-Labrada R,"Centro de Neurociencias de Cuba, Cuba. Electronic address: robertrl1981@gmail.com."
42097396,Olazabal D,"Unidad Académica Fisiología, Facultad de Medicina, Universidad de la República Urugua, Gral. Flores 2125, Montevideo 11800, Uruguay. Electronic address: dolazabal@fmed.edu.uy."
42097396,Rocha L,"Pharmacobiology Department, Center for Research and Advanced Studies of the National Polytechnic Institute, Calz. Tenorios 235. Col. Granjas Coapa, Mexico City 14330, Mexico. Electronic address: lrocha@cinvestav.mx."
42086667,Riboldi J,"Departamento de Fisiología, Biología Molecular y Celular ""Dr. Héctor Maldonado"" (FBMC), Universidad de Buenos Aires, Facultad de Ciencias Exactas y Naturales, Buenos Aires, Argentina."
42086667,Riboldi J,"CONICET - Universidad de Buenos Aires, Instituto de Biología Celular y Neurociencias ""Profesor Eduardo De Robertis"" (IBCN), Buenos Aires, Argentina."
42086667,Riboldi J,"Instituto Tecnológico de Buenos Aires (ITBA), Buenos Aires, Argentina."
42086667,Iribarne J,"Departamento de Fisiología, Biología Molecular y Celular ""Dr. Héctor Maldonado"" (FBMC), Universidad de Buenos Aires, Facultad de Ciencias Exactas y Naturales, Buenos Aires, Argentina."
42086667,Iribarne J,"CONICET - Universidad de Buenos Aires, Instituto de Biología Celular y Neurociencias ""Profesor Eduardo De Robertis"" (IBCN), Buenos Aires, Argentina."
42086667,Iribarne J,"Instituto Tecnológico de Buenos Aires (ITBA), Buenos Aires, Argentina."
42086667,Renfijes M,"CONICET - Universidad de Buenos Aires, Instituto de Biología Celular y Neurociencias ""Profesor Eduardo De Robertis"" (IBCN), Buenos Aires, Argentina."
42086667,Renfijes M,"Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina."
42086667,Igaz L,"Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Universidad de Buenos Aires, Facultad de Ciencias Médicas, Buenos Aires, Argentina."
42086667,Igaz L,"CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
42086667,Moncada D,"Laboratorio de Neurofisiología de la Memoria, Instituto de Biología Celular y Neurociencia, Facultad de Medicina (UBA/CONICET) - Instituto Tecnológico de Buenos Aires (ITBA), Buenos Aires, Argentina."
42086667,Moncada D,"Centro Integrativo de Biología y Química Aplicada, Universidad Bernardo O'Higgins, Santiago, Chile."
42086667,Viola H,"Departamento de Fisiología, Biología Molecular y Celular ""Dr. Héctor Maldonado"" (FBMC), Universidad de Buenos Aires, Facultad de Ciencias Exactas y Naturales, Buenos Aires, Argentina. hviola@fmed.uba.ar."
42086667,Viola H,"CONICET - Universidad de Buenos Aires, Instituto de Biología Celular y Neurociencias ""Profesor Eduardo De Robertis"" (IBCN), Buenos Aires, Argentina. hviola@fmed.uba.ar."
42086667,Viola H,"Instituto Tecnológico de Buenos Aires (ITBA), Buenos Aires, Argentina. hviola@fmed.uba.ar."
41950695,Reppetti J,"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina."
41950695,Gornalusse G,"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA, USA."
41950695,Etcheverry T,"Universidad de Buenos Aires (UBA-CONICET), Centro de Estudios Farmacológicos y Botánicos (CEFYBO), Laboratorio de Fisiopatología Placentaria, Facultad de Medicina, Buenos Aires, Argentina."
41950695,Farina M,"Universidad de Buenos Aires (UBA-CONICET), Centro de Estudios Farmacológicos y Botánicos (CEFYBO), Laboratorio de Fisiopatología Placentaria, Facultad de Medicina, Buenos Aires, Argentina."
41950695,Damiano A,"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina."
41950695,Martinez N,"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina. Electronic address: noraalicia.martinez@gmail.com."
41933672,Cutrera N,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
41933672,Cocca M,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
41933672,Ford P,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
41933672,Echevarria M,"Instituto de Biomedicina de Sevilla (IBiS), Hospital Universitario Virgen del Rocío/CSIC/Universidad de Sevilla, 41013, Seville, Spain."
41933672,Capurro C,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
41933672,Di Giusto G,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
41933672,Netti V,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina. Electronic address: vnetti@conicet.gov.ar."
41824201,Celi A,"Laboratorio de Biomembranas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina."
41824201,Celi A,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
41824201,Mechali A,"Laboratorio de Biomembranas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina."
41824201,Mechali A,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina."
