UMAP1,UMAP2,PMID,Title,Year,Cluster
14.605044,13.783307,41709136,Insights into the proteome of next-generation probiotic Faecalibacterium duncaniae A2-165 through label-free proteomics approach.,2026,4
15.707031,16.458204,41605341,Persistent neuropathic pain selectively impairs hedonic and motivational aspects of eating: Insights from a mouse model.,2026,4
17.241447,15.8357525,41571758,Cytoplasmic TDP-43 leads to early behavioral impairments without neurodegeneration in a serotonergic neuron-specific C. elegans model.,2026,2
12.585938,13.9399605,41489386,Deleterious consequences of Shiga toxin in the CNS.,2026,6
14.584104,12.594791,41457365,TRPV4 Orchestrates Distinct Calcium and Cell Growth Responses in Non-Tumorigenic and Clear Cell Renal Carcinoma-Derived Cells.,2025,8
17.487534,15.892301,41423699,Synaptic changes contribute to persistent extra-motor behaviour deficits in amyotrophic lateral sclerosis.,2025,2
15.226813,14.007012,41242030,In Vitro Evaluation of the Impact of Oxygen Concentrations on Thrombomodulin Expression in a First-Trimester Trophoblast Cell Line.,2026,3
15.994912,14.32374,41208638,Iron Deficiency in Drosophila melanogaster Glial Cells Impacts Behavior Through Altered Mitochondrial Dynamics.,2025,4
16.317749,16.298738,41183746,From rodents to humans: Conserved codistribution of dopaminergic with serotonergic neurons in the dorsal raphe nucleus and their molecular characterization.,2025,2
14.248375,17.405153,41040166,Distinct cellular processes drive motor skill learning in the human brain.,2025,1
14.513692,13.202831,41014673,AQP3 in amniotic epithelial cells: A key mediator of cell survival.,2025,8
18.958817,16.127214,40976751,Editorial: SLIMP2024.,2026,4
18.82829,16.02338,40882494,"Corrigendum to ""Aquaporin-1 and aquaporin-4 in human placental angiogenesis: insights into the critical interaction with caveolin-1"" [Placenta 168 (2025) 111-123].",2025,4
17.3866,15.770123,40766632,Cytoplasmic TDP-43 leads to early functional impairments without neurodegeneration in a Serotonergic Neuron-Specific C. elegans Model.,2025,2
14.100805,17.525747,40744730,Uncovering the Role of the Human Hippocampus in Procedural Motor Learning: Insights from Implicit Sensorimotor Adaptation.,2025,1
19.119797,15.79973,40642510,"Editorial: Maternal-fetal interface: new insight in placenta research, volume II.",2025,4
13.8892145,12.658242,40617562,Shiga toxins from enterohemorrhagic Escherichia coli and anti-GB3 antibody as novel agents against triple negative breast cancer.,2025,8
15.504725,13.999665,40603573,The translational inhibitor 4EBP/Thor is required for Drosophila adaptation to hypoxia.,2025,4
14.840733,12.734783,40595449,Autophagy controls differentiation of Drosophila blood cells by regulating Notch levels in response to nutrient availability.,2025,8
12.8697195,12.49053,40587395,Development of Human Renal Tubular Epithelial Cell Primary Cultures in Monolayers and Three-Dimensional Conditions.,2025,5
12.878764,11.522212,40577142,"Sodium and menopause. Dopamine D1-receptors, Na+-K+-ATPase and CD4+ in peripheral blood as markers of renal inflammation.",2025,8
16.75576,17.469196,40553107,"Striatal cholinergic interneuron pause response requires Kv1 channels, is absent in dyskinetic mice, and is restored by dopamine D5 receptor inverse agonism.",2025,2
15.069086,13.161146,40527250,Aquaporin-1 and aquaporin-4 in human placental angiogenesis: insights into the critical interaction with caveolin-1.,2025,8
13.555602,15.46707,40451786,Clinical impact of changes in plasma osmolarity and pump time during cardiopulmonary bypass use.,2026,4
19.147947,15.67183,40012853,Editorial: Neuroinflammatory aspects in neurological disorders.,2025,4
15.275393,14.1273985,39955250,Nitrative stress-induced dysregulation of placental AQUAPORIN-9: A potential key player in preeclampsia pathogenesis.,2026,3
16.675919,16.492405,39947439,Attenuated neurotoxicity after repeated methamphetamine binges linked to dopamine transporter (DAT) decline.,2025,2
15.779763,16.935402,39855537,Ketamine administration during adolescence impairs synaptic integration and inhibitory synaptic transmission in the adult dentate gyrus.,2025,4
13.649441,15.313371,39853576,Sleep apnea screening through a news portal using the STOP-bang questionnaire.,2025,4
13.80155,15.229475,39851628,Spatio-Temporal Analysis of Acute Myocardial Ischaemia Based on Entropy-Complexity Plane.,2024,4
17.134998,16.456057,39833563,Early postnatal NMDA receptor ablation in cortical interneurons impairs affective state discrimination and social functioning.,2025,2
11.899074,13.131373,39553573,High-fat and high-carbohydrate diets worsen the mouse brain susceptibility to damage produced by enterohemorrhagic Escherichia coli Shiga toxin 2.,2024,5
14.828317,12.310786,39485629,Osteopontin Regulates AQP4 Expression by TRPV4 Activation in Müller Cells: Implications for Retinal Homeostasis.,2025,8
15.668644,14.481113,39461007,Maternal alcohol consumption up to mouse organogenesis disrupts fetal-placental interface at mid-gestation associated with dysregulation of AQP3 immunoexpression.,2024,3
14.081567,13.229406,39442808,Involvement of aquaporins in Shiga toxin-induced swelling and water transport dysfunction in human renal microvascular endothelial cells.,2025,8
15.264389,14.176086,39327159,TDP-43 nuclear condensation and neurodegenerative proteinopathies.,2024,4
14.228678,17.843859,39074983,Sleep Consolidation Potentiates Sensorimotor Adaptation.,2024,1
18.897387,15.958372,39055061,Editorial: The placenta: the origin of chronic diseases in adults.,2024,4
16.453373,15.7230015,38956598,Impact of aquaporin-4 and CD11c + microglia in the development of ependymal cells in the aqueduct: inferences to hydrocephalus.,2024,2
14.46734,18.332827,38950066,Retrieval of contextual memory can be predicted by CA3 remapping and is differentially influenced by NMDAR activity in rat hippocampus subregions.,2024,1
18.879154,16.167276,38827994,Editorial: Health-stress-disease triangle. Pathophysiological focus and perspectives.,2024,4
13.079677,11.7559595,38788356,"High sodium, rather than high blood pressure, induces immune cell activation and renal infiltration in ovariectomized adult Wistar rats.",2024,8
14.331289,18.630241,38355584,Memory persistence: from fundamental mechanisms to translational opportunities.,2024,1
18.97448,16.140106,38332013,The human hippocampus beyond episodic memory.,2024,4
12.088261,10.555261,38289455,Histone Methyltransferase G9a Plays an Essential Role on Nicotine Preference in Zebrafish.,2024,7
19.230803,15.681308,38089623,Editorial: Maternal-fetal interface: new insight in placenta research.,2023,4
13.308617,12.982872,38086442,Progression of renal damage and tubular regeneration in pregnant and non-pregnant adult female rats inoculated with a sublethal dose of Shiga toxin 2.,2024,5
13.5277405,11.984757,38019897,A cohort-based study of host gene expression: tumor suppressor and innate immune/inflammatory pathways associated with the HIV reservoir size.,2023,4
12.78399,13.4774685,37979924,Detection and characterization of circulating microvesicles containing Shiga toxin type 2 in a rat model of Hemolytic Uremic Syndrome.,2023,5
16.662586,17.921886,37852390,Feed-forward metabotropic signaling by Cav1 Ca2+ channels supports pacemaking in pedunculopontine cholinergic neurons.,2023,2
19.032331,16.273928,37718031,Moving Forward Precision Medicine in Psychiatry.,2023,4
11.966833,13.617495,37704516,Detection of plasma anti-lipopolysaccharide (LPS) antibodies against enterohemorrhagic Escherichia coli (EHEC) in asymptomatic kindergarten teachers from Buenos Aires province.,2024,6
16.808237,17.307848,37683958,D2 dopamine receptors and the striatopallidal pathway modulate L-DOPA-induced dyskinesia in the mouse.,2023,2
12.943915,11.555334,37676461,Role of Female Sex Hormones and Immune Response in Salt-Sensitive Hypertension Development: Evidence from Experimental Models.,2023,8
14.188358,14.39208,37466779,The Placental Function Beyond Pregnancy: Insights from Latin America.,2023,3
13.155041,15.467836,37274341,Machine learning applied in maternal and fetal health: a narrative review focused on pregnancy diseases and complications.,2023,4
15.677202,16.533201,37252991,Principles of nociceptive coding in the anterior cingulate cortex.,2023,4
15.807284,16.48428,37236391,Plasticity of Cortico-striatal Neurons of the Caudal Anterior Cingulate Cortex During Experimental Neuropathic Pain.,2023,4
12.113966,13.171955,37036956,EFFECTS OF BACTERIAL LIPOPOLYSACCHARIDE AND SHIGA TOXIN ON INDUCED PLURIPOTENT STEM CELL-DERIVED MESENCHYMAL STEM CELLS.,2023,5
14.625196,14.688059,36878143,"Preeclampsia association of placental nucleotide variations in eNOS, VEGFA, and FLT-1 genes in Latin American pregnant women.",2023,3
14.6101265,13.992983,36717499,Aquaporins in Fetal Development.,2023,3
14.257982,18.180336,36710956,Spatial memory deficits in Alzheimer's disease and their connection to cognitive maps' formation by place cells and grid cells.,2022,1
14.262468,17.807592,36587288,Human motor sequence learning drives transient changes in network topology and hippocampal connectivity early during memory consolidation.,2023,1
13.013132,11.624366,36549423,Behavior of the renal kallikrein in spontaneously hypertensive rats: Influence of sexual hormones and aldosterone-sensitive distal nephron ion channels.,2023,8
12.981509,15.457784,36464947,Multicentre observational study on multisystem inflammatory syndrome related to COVID-19 in Argentina.,2023,4
15.043046,17.08955,36426715,Dorsal striatum coding for the timely execution of action sequences.,2022,4
16.740086,16.69345,36241384,Preserved Motility after Neonatal Dopaminergic Lesion Relates to Hyperexcitability of Direct Pathway Medium Spiny Neurons.,2022,2
11.806819,13.343932,36227397,Cognitive Deficits Found in a Pro-inflammatory State are Independent of ERK1/2 Signaling in the Murine Brain Hippocampus Treated with Shiga Toxin 2 from Enterohemorrhagic Escherichia coli.,2023,6
18.85723,16.052782,36117714,"Editorial: Vascular dysfunction beyond pathological pregnancies. An international effort addressed to fill the gaps in Latin America, Volume II.",2022,4
11.91778,13.6116295,36004327,Intestinal mucus-derived metabolites modulate virulence of a clade 8 enterohemorrhagic Escherichia coli O157:H7.,2022,6
13.132308,14.713314,35982602,Text Mining of Biomedical Articles Using the Konstanz Information Miner (KNIME) Platform: Hemolytic Uremic Syndrome as a Case Study.,2022,4
12.605325,13.85005,35957815,Detection of Shiga Toxin-Producing Escherichia coli (STEC) in the Endocervix of Asymptomatic Pregnant Women. Can STEC Be a Risk Factor for Adverse Pregnancy Outcomes?,2022,6
12.914352,14.448644,35904906,[Obtaining new information on hemolytic uremic syndrome by text mining].,2022,4
14.208318,18.752964,35853718,Dopamine Modulates Adaptive Forgetting in Medial Prefrontal Cortex.,2022,1
11.792124,13.170777,35835234,Cytokines expression from altered motor thalamus and behavior deficits following sublethal administration of Shiga toxin 2a involve the induction of the globotriaosylceramide receptor.,2022,5
12.053864,10.521981,35777525,Evaluation of drug seeking behavior on nicotine conditioned place preference in zebrafish.,2022,7
14.885952,18.325117,35752429,Oxytocin-Cholinergic Central Interaction: Implications for Non-Social Memory Formation.,2022,1
13.790696,15.943601,35705598,Vectorcardiography-derived index allows a robust quantification of ventricular electrical synchrony.,2022,4
14.015279,18.636223,35597334,Serotonin Type 2a Receptor in the Prefrontal Cortex Controls Perirhinal Cortex Excitability During Object Recognition Memory Recall.,2022,1
13.972723,18.569962,35561217,Hippocampal-medial prefrontal cortex network dynamics predict performance during retrieval in a context-guided object memory task.,2022,1
16.873133,17.714682,35535012,D1/D5 Inverse Agonists Restore Striatal Cholinergic Interneuron Physiology in Dyskinetic Mice.,2022,2
14.184708,14.270028,35431989,"Severe Acute Respiratory Syndrome Coronavirus 2 Infection in Pregnancy. A Non-systematic Review of Clinical Presentation, Potential Effects of Physiological Adaptations in Pregnancy, and Placental Vascular Alterations.",2022,3
14.116966,17.80987,35368282,Visuomotor Adaptation Modulates the Clustering of Sleep Spindles Into Trains.,2022,1
14.109349,17.590073,35225229,Competition between parallel sensorimotor learning systems.,2022,4
12.412226,13.478125,35223548,Therapeutic Antibodies Against Shiga Toxins: Trends and Perspectives.,2022,6
14.074698,18.038975,35217797,A novel role for the lateral habenula in fear learning.,2022,4
14.915233,14.669444,35095555,Assessing the Role of Uric Acid as a Predictor of Preeclampsia.,2021,3
14.45539,13.523659,34971959,Contribution of aquaporins in the transamniotic water flux.,2022,8
15.124501,13.172235,34938200,Hyperosmolarity Impairs Human Extravillous Trophoblast Differentiation by Caveolae Internalization.,2021,8
13.250178,12.85056,34935149,Colony-stimulating factor-1 receptor inhibition attenuates microgliosis and myelin loss but exacerbates neurodegeneration in the chronic cuprizone model.,2022,4
16.980669,17.616043,34933954,Striatal Cholinergic Interneurons Are Required for Contending Strategy Selection While Solving Spatial Navigation Problems.,2022,2
15.778959,16.44113,34930957,Increased burst coding in deep layers of the ventral anterior cingulate cortex during neuropathic pain.,2021,4
15.508,14.224008,34925067,Lactic Acid Transport Mediated by Aquaporin-9: Implications on the Pathophysiology of Preeclampsia.,2021,3
17.756062,15.730958,34916412,Protein synthesis modulation as a therapeutic approach for amyotrophic lateral sclerosis and frontotemporal dementia.,2022,2
13.070855,13.0342655,34900753,Human Glomerular Endothelial Cells Treated With Shiga Toxin Type 2 Activate γδ T Lymphocytes.,2021,5
16.05289,16.058315,34823607,"A familiar study on self-limited childhood epilepsy patients using hIPSC-derived neurons shows a bias towards immaturity at the morphological, electrophysiological and gene expression levels.",2021,4
12.664964,13.373646,34822608,The Deleterious Effects of Shiga Toxin Type 2 Are Neutralized In Vitro by FabF8:Stx2 Recombinant Monoclonal Antibody.,2021,5
14.703782,12.182932,34804128,Metabolic Imbalance Effect on Retinal Müller Glial Cells Reprogramming Capacity: Involvement of Histone Deacetylase SIRT6.,2021,8
16.159641,16.25324,34741225,Sensitivity to Envelope Interaural Time Differences: Modeling Auditory Modulation Filtering.,2022,4
14.035165,17.787357,34649283,Motor Learning Promotes the Coupling between Fast Spindles and Slow Oscillations Locally over the Contralateral Motor Network.,2022,1
14.653178,18.55035,34619364,Role of prediction error and the cholinergic system on memory reconsolidation processes in mice.,2021,1
12.539225,12.8474045,34437406,Combined Action of Shiga Toxin Type 2 and Subtilase Cytotoxin in the Pathogenesis of Hemolytic Uremic Syndrome.,2021,5
13.000849,11.659113,34320266,Ovariectomy and high salt increase blood pressure and alter sodium transport proteins in peripheral blood mononuclear cells of adult Wistar rats.,2021,8
14.473519,13.258883,34293244,PIP aquaporin pH-sensing is regulated by the length and charge of the C-terminal region.,2022,4
12.230163,10.614131,34279203,Epigenetic Mechanisms Mediate Nicotine-Induced Reward and Behaviour in Zebrafish.,2022,7
15.437844,13.587394,34267676,High Levels of Tumor Necrosis Factor-Alpha Reduce Placental Aquaporin 3 Expression and Impair in vitro Trophoblastic Cell Migration.,2021,3
14.84976,12.294107,34263427,Aquaporin-4 Removal from the Plasma Membrane of Human Müller Cells by AQP4-IgG from Patients with Neuromyelitis Optica Induces Changes in Cell Volume Homeostasis: the First Step of Retinal Injury?,2021,8
14.600888,12.016279,34216588,Extracellular ATP hydrolysis in Caco-2 human intestinal cell line.,2021,8
12.946354,12.693868,34155339,Eliglustat prevents Shiga toxin 2 cytotoxic effects in human renal tubular epithelial cells.,2022,5
16.844564,17.709167,34048797,Mechanisms of Antiparkinsonian Anticholinergic Therapy Revisited.,2021,2
12.404888,15.817881,36166246,Antiproteinuric action of amiloride in paediatric patient with corticoresistant nephrotic syndrome.,2021,0
13.220858,14.772334,33906140,[Text mining in scientific publications with Argentine authors].,2021,4
16.474566,16.833773,33822178,Early NMDA Receptor Ablation in Interneurons Causes an Activity-Dependent E/I Imbalance in vivo in Prefrontal Cortex Pyramidal Neurons of a Mouse Model Useful for the Study of Schizophrenia.,2021,2
12.4393835,15.824547,33722403,Antiproteinuric action of amiloride in paediatric patient with corticoresistant nephrotic syndrome.,2021,0
13.698401,14.790949,33703954,"3-aryl-indolinones derivatives as antiplasmodial agents: synthesis, biological activity and computational analysis.",2022,4
13.4823885,16.06918,33692740,Diagnostic Performance of MRI Volumetry in Epilepsy Patients With Hippocampal Sclerosis Supported Through a Random Forest Automatic Classification Algorithm.,2021,4
11.873954,13.513385,33685676,Preservation of protective capacity of hyperimmune anti-Stx2 bovine colostrum against enterohemorrhagic Escherichia coli O157:H7 pathogenicity after pasteurization and spray-drying processes.,2021,6
16.845531,17.751001,33547844,Levodopa Causes Striatal Cholinergic Interneuron Burst-Pause Activity in Parkinsonian Mice.,2021,2
13.297633,14.981429,33519685,Drosophila para bss Flies as a Screening Model for Traditional Medicine: Anticonvulsant Effects of Annona senegalensis.,2020,4
17.704535,15.711974,33363456,Cytoplasmic Expression of the ALS/FTD-Related Protein TDP-43 Decreases Global Translation Both in vitro and in vivo.,2020,2
14.7203665,18.423803,33307182,Critical role of hippocampal muscarinic acetylcholine receptors on memory reconsolidation in mice.,2021,1
16.020662,16.235243,33240056,Multielectrode Recordings From Identified Neurons Involved in Visually Elicited Escape Behavior.,2020,4
15.058713,12.957791,33126049,Endocannabinoid signaling impairs syncytialization: Using flow cytometry to evaluate forskolin-induced cell fusion.,2021,3
14.728655,12.104844,33094506,Release of ATP by TRPV4 activation is dependent upon the expression of AQP2 in renal cells.,2021,8
14.171061,17.575504,32900965,Rapid hippocampal plasticity supports motor sequence learning.,2020,1
14.227187,12.783275,32525252,In Vivo Photodynamic Therapy With a Lipophilic Zinc(II) Phthalocyanine Inhibits Colorectal Cancer and Induces a Th1/CD8 Antitumor Immune Response.,2021,8
13.828025,14.174079,32482148,The limited knowledge of placental damage due to neglected infections: ongoing problems in Latin America.,2020,3
14.614313,18.15811,32360730,Repeating or spacing learning sessions are strategies for memory improvement with shared molecular and neuronal components.,2020,1
15.666484,14.098039,32319840,Stress-mediated hyperactivity and anhedonia resistant to diazepam and fluoxetine in drosophila.,2021,4
16.13115,16.138544,32311511,Hypothalamic Pomc expression restricted to GABAergic neurons suppresses Npy overexpression and restores food intake in obese mice.,2020,2
15.121042,17.549212,32308155,Nutritional stress timing differentially programs cognitive abilities in young adult male mice.,2022,1
16.843712,17.843927,32302030,What's wrong with the striatal cholinergic interneurons in Parkinson's disease? Focus on intrinsic excitability.,2021,2
13.05009,11.688734,32282322,[Female hormones in renal physiology. Salt sensitivity and regulation of epithelial proliferation].,2020,8
16.45184,15.251305,32259636,Exposure to growth hormone is associated with hepatic up-regulation of cPLA2α and COX.,2020,4
16.65658,16.830038,32205341,Interneuron NMDA Receptor Ablation Induces Hippocampus-Prefrontal Cortex Functional Hypoconnectivity after Adolescence in a Mouse Model of Schizophrenia.,2020,2
14.426705,17.68971,32133494,The Origins of Anterograde Interference in Visuomotor Adaptation.,2020,4
14.509459,14.20916,32129110,The role of xenobiotic-metabolizing enzymes in the placenta: a growing research field.,2020,3
12.72153,13.886495,32077828,Therapeutic Strategies to Protect the Central Nervous System against Shiga Toxin from Enterohemorrhagic Escherichia coli.,2021,6
14.612953,13.63996,32061348,Aquaporins during pregnancy.,2020,3
13.812361,16.211113,32061044,Improving Spatial Normalization of Brain Diffusion MRI to Measure Longitudinal Changes of Tissue Microstructure in the Cortex and White Matter.,2020,4
13.964847,18.030394,31998083,Volume-Conducted Origin of the Field Potential at the Lateral Habenula.,2019,4
14.077739,12.121452,31997350,P2X7 and A2A receptor endogenous activation protects against neuronal death caused by CoCl2 -induced photoreceptor toxicity in the zebrafish retina.,2020,8
14.606505,13.152753,31956716,AQP1 expression in the proximal tubule of diabetic rat kidney.,2020,8
12.179631,10.644501,31848934,Pre-Exposure to Nicotine with Nocturnal Abstinence Induces Epigenetic Changes that Potentiate Nicotine Preference.,2020,7
16.510641,16.97485,31833146,Behavioral sensitization and cellular responses to psychostimulants are reduced in D2R knockout mice.,2021,2
12.197889,13.788446,31824869,"Endocytosis, Cytotoxicity, and Translocation of Shiga Toxin-2 Are Stimulated by Infection of Human Intestinal (HCT-8) Monolayers With an Hypervirulent E. coli O157:H7 Lacking stx2 Gene.",2019,6
14.564219,12.620036,31811544,Na+/H+ exchanger isoform 1 activity in AQP2-expressing cells can be either proliferative or anti-proliferative depending on extracellular pH.,2020,8
15.492293,12.936978,31780897,Beneficial and Detrimental Remodeling of Glial Connexin and Pannexin Functions in Rodent Models of Nervous System Diseases.,2019,4
12.576076,12.888246,31703347,Crosstalk between Human Microvascular Endothelial Cells and Tubular Epithelial Cells Modulates Pro-Inflammatory Responses Induced by Shiga Toxin Type 2 and Subtilase Cytotoxin.,2019,5
14.1512,17.851763,31690927,Neural Dynamics of Associative Learning during Human Sleep.,2020,4
13.024216,13.670769,31630412,Construction and reconstruction of brain circuits: normal and pathological axon guidance.,2020,4
14.954166,12.598672,31628683,Aquaporin-2 and Na+ /H+ exchanger isoform 1 modulate the efficiency of renal cell migration.,2020,8
15.10057,13.182475,31541456,Intact caveolae are required for proper extravillous trophoblast migration and differentiation.,2020,8
13.364877,15.515538,31535145,Changes in cardiac Aquaporin expression during aortic valve replacement surgery with cardiopulmonary bypass.,2020,4
13.447199,15.645988,31521941,Effects of Cross-Clamping on Vascular Mechanics: Comparing Waveform Analysis With a Numerical Model.,2019,4
13.532,15.72692,31521898,Calculation of the aortic arch angles from three-dimensional reconstructions of computed tomography scans: Comparison between an automated program and visual assessment.,2019,4
19.212805,16.17382,31396108,Editorial: Vascular Dysfunction Beyond Pathological Pregnancies. An International Effort Addressed to Fill the Gaps in Latin America.,2019,4
17.878836,15.947275,31068973,Suppression of Conditional TDP-43 Transgene Expression Differentially Affects Early Cognitive and Social Phenotypes in TDP-43 Mice.,2019,2
14.366321,18.661703,31057366,Relevance of ERK1/2 Post-retrieval Participation on Memory Processes: Insights in Their Particular Role on Reconsolidation and Persistence of Memories.,2019,1
15.270997,13.721154,31018904,Osmotic stress induces apoptosis in extravillous trophoblast cells. Role of TRPV-1.,2019,8
16.811224,17.173212,30895594,Optostimulation of striatonigral terminals in substantia nigra induces dyskinesia that increases after L-DOPA in a mouse model of Parkinson's disease.,2019,2
12.844673,12.4824505,30879772,Estradiol stimulates cell proliferation via classic estrogen receptor-alpha and G protein-coupled estrogen receptor-1 in human renal tubular epithelial cell primary cultures.,2019,8
14.496099,18.516703,30842725,Kinase and Phosphatase Engagement Is Dissociated Between Memory Formation and Extinction.,2019,1
12.167946,10.6073265,30826460,Sensitization-dependent nicotine place preference in the adult zebrafish.,2019,7
12.461635,15.764711,30747154,Early decrease in the podocalyxin to synaptopodin ratio in urinary Fabry podocytes.,2019,0
16.96182,16.65288,30746639,Changes in Dendritic Spine Density and Inhibitory Perisomatic Connectivity onto Medium Spiny Neurons in L-Dopa-Induced Dyskinesia.,2019,2
11.924435,13.177938,30732602,Shiga toxin 2 from enterohemorrhagic Escherichia coli induces reactive glial cells and neurovascular disarrangements including edema and lipid peroxidation in the murine brain hippocampus.,2019,5
16.529741,15.218538,30658119,Changes in motor function and brain cortex mitochondrial active oxygen species production in aged mice.,2019,2
15.658982,13.054057,30628061,Selective Cre-mediated gene deletion identifies connexin 43 as the main connexin channel supporting olfactory ensheathing cell networks.,2019,4
14.986481,13.364639,30620717,Cytotoxic effects of Shiga toxin-2 on human extravillous trophoblast cell lines.,2019,8
12.634156,13.813944,30619183,Relevance of Bacteriophage 933W in the Development of Hemolytic Uremic Syndrome (HUS).,2018,6
14.328523,14.250272,30564135,Crosstalk Between Nitric Oxide and Endocannabinoid Signaling Pathways in Normal and Pathological Placentation.,2018,3
15.363922,14.012279,30539720,Oxygen regulation of aquaporin-4 in human placenta.,2018,3
12.36244,13.328017,30513821,Human Recombinant Fab Fragment Neutralizes Shiga Toxin Type 2 Cytotoxic Effects in vitro and in vivo.,2018,5
15.282585,12.690609,30466042,Calcium interactions with Cx26 hemmichannel: Spatial association between MD simulations biding sites and variant pathogenicity.,2018,4
14.435811,11.979599,30458250,Purinergic signaling in the retina: From development to disease.,2019,8
15.095,13.905584,30425647,New Insights Into the Role of Placental Aquaporins and the Pathogenesis of Preeclampsia.,2018,3
12.747419,13.88994,30360505,Shiga Toxin-Producing Escherichia coli Infections during Pregnancy.,2018,6
13.576606,13.179843,30300837,Obesity alters the uterine environment before pregnancy.,2018,4
15.886866,15.59732,30283405,Hypothalamic Proopiomelanocortin Is Necessary for Normal Glucose Homeostasis in Female Mice.,2018,4
13.463935,14.242877,30274180,Recent Advances in Shiga Toxin-Producing Escherichia coli Research in Latin America.,2018,6
14.550034,13.966216,30204500,Trophoblast VIP deficiency entails immune homeostasis loss and adverse pregnancy outcome in mice.,2019,3
12.618795,15.796986,30139698,Podocyturia in paediatric patients with Fabry disease.,2019,0
13.721094,12.208576,30102439,"Characterization of proliferative, glial and angiogenic responses after a CoCl2 -induced injury of photoreceptor cells in the adult zebrafish retina.",2018,8
12.229046,13.659652,29807709,"Efficacy of a recombinant Intimin, EspB and Shiga toxin 2B vaccine in calves experimentally challenged with Escherichia coli O157:H7.",2018,6
14.828321,12.1549225,29790838,Release of taurine and glutamate contributes to cell volume regulation in human retinal Müller cells: differences in modulation by calcium.,2018,8
15.39771,16.57968,29774754,Effect of di(2-ethylhexyl) phthalate on the neuroendocrine regulation of reproduction in adult male rats and its relationship to anxiogenic behavior: Participation of GABAergic system.,2019,4
16.930365,17.675402,29758221,Inhibition of striatal cholinergic interneuron activity by the Kv7 opener retigabine and the nonsteroidal anti-inflammatory drug diclofenac.,2018,2
14.550535,18.136984,29755331,"Immediate Early Genes, Memory and Psychiatric Disorders: Focus on c-Fos, Egr1 and Arc.",2018,1
13.9823265,18.730345,29717980,5-HT2a receptor in mPFC influences context-guided reconsolidation of object memory in perirhinal cortex.,2018,1
17.03696,15.611564,29669277,Modulation of Tau Isoforms Imbalance Precludes Tau Pathology and Cognitive Decline in a Mouse Model of Tauopathy.,2018,4
13.863071,15.969384,29605667,"EpiTools, A software suite for presurgical brain mapping in epilepsy: Intracerebral EEG.",2018,4
15.200565,13.28527,29567477,The blocking of aquaporin-3 (AQP3) impairs extravillous trophoblast cell migration.,2018,3
14.13725,12.868881,29494356,A novel penicillin derivative induces antitumor effect in melanoma cells.,2018,8
12.1753,13.823051,29483033,Immunization of pregnant cows with Shiga toxin-2 induces high levels of specific colostral antibodies and lactoferrin able to neutralize E. coli O157:H7 pathogenicity.,2018,6
12.146528,10.632012,29481898,Evaluation of the rewarding properties of nicotine and caffeine by implementation of a five-choice conditioned place preference task in zebrafish.,2018,7
