Affiliation,N_records,N_papers,N_authors
"Colegio de Ciencias de la Salud, Universidad San Francisco de Quito, Quito, Ecuador.",2,2,1
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina.",2,2,2
"Instituto Cajal, Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain.",4,2,4
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina.",3,2,3
"Department of Physiology and Institute of Physiology and Biophysics (IFIBIO-Houssay, UBA-CONICET), School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.",5,2,3
"Neurology Department, Fundación para el Estudio de las Enfermedades Metabólicas FESEN, Buenos Aires, Argentina.",2,2,1
"Nephrology, Hospital Británico de Buenos Aires, Buenos Aires, Argentina. htrimarchi@hotmail.com.",2,2,1
"Nephrology Service, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.",15,2,8
"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA, USA.",2,2,1
"REDINREN, Madrid, Spain.",3,2,2
"Department of Neurology and Neurosurgery, McGill University, Montreal, QC, H3A 2B4, Canada.",2,2,2
"División de Neurociencias, Instituto de Fisiología Celular, Universidad Nacional Autónoma de México, Ciudad de México, México.",3,2,3
"Research Centre for Infectious Diseases, Department of Molecular and Biomedical Science, University of Adelaide, Adelaide 5005, Australia.",4,2,2
"Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",2,2,2
"Servicio de Nefrología, Hospital Británico de Buenos Aires, Perdriel 74, 1280, Buenos Aires, Argentina. htrimarchi@hotmail.com.",2,2,1
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO) - CONICET- Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",7,2,5
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires (UBA), Buenos Aires, Argentina. Electronic address: mboccia@ffyb.uba.ar.",2,2,1
"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina.",4,2,4
"Laboratorio de Investigación Materno-Fetal (LIMaF), Departamento de Obstetricia y Ginecología, Facultad de Medicina, Universidad de Concepción, Concepción, Chile.",2,2,2
"Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.",6,2,5
"Laboratorio de Ingeniería Genética y Biología Celular y Molecular, Universidad Nacional de Quilmes, Buenos Aires, Argentina.",4,2,3
"Departamento de Ciencias Fisiológicas, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",8,2,8
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica, IFIBIO-Houssay (UBA-CONICET), Departamento de Ciencias Fisiológicas, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",10,2,6
"Department of Physiology and Institute of Physiology and Biophysics (IFIBIO-Houssay, UBA-CONICET), School of Medicine, University of Buenos Aires, Buenos Aires, Argentina. Electronic address: rbernabeu@fmed.uba.ar.",2,2,1
"IFIBIO Houssay, UBA CONICET Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",4,2,2
"IFIBIO Houssay, UBA CONICET, Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, 1425 Buenos Aires, Argentina.",4,2,2
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica (IFIBIO) Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina.",9,2,7
"Group of Research and Innovation in Vascular Health (GRIVAS Health), Chillan, Chile.",4,2,4
"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.",12,2,12
"Universidad de Buenos Aires, IDEHU-CONICET, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología, Junín 956, Piso 4°, 1113, Ciudad de Buenos Aires, Argentina.",2,2,1
"Internal Medicine, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.",2,2,1
"IFIBIO Houssay, Grupo de Neurociencia de Sistemas, Facultad de Medicina, Universidad de Buenos Aires - CONICET, Buenos Aires, Argentina.",3,2,3
"CIBERNED, Instituto de Salud Carlos III, Madrid, Spain.",9,2,8
"Instituto de Fisiología y Biofísica ""Bernardo Houssay"", (IFIBIO-Houssay), Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.",5,2,5
"Academia De Genómica, Instituto Politécnico Nacional-CIIDIR Durango, Durango, Mexico.",5,2,4
"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina.",5,2,5
"Biochemistry Services, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.",8,2,4
"Instituto de Fisiología y Biofísica Prof. Bernardo Houssay (IFIBIO-Houssay) UBA y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.",10,2,7
"Universidad de Buenos Aires, Facultad de Medicina, and CONICET, Instituto de Fisiología y Biofísica (IFIBIO), Buenos Aires, Argentina.",2,2,1
"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: marianosaborido@gmail.com.",1,1,1
"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: gimenagomez@gmail.com.",1,1,1
"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: gersha@gmail.com.",1,1,1
"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: celialarramendy@gmail.com.",1,1,1
"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina.",1,1,1
"Laboratorio de Oncología, Instituto de Medicina y Biología Experimental de Cuyo (IMBECU, CCT Mendoza), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de Cuyo (UNCuyo), Mendoza, Argentina.",1,1,1
"Laboratorio de Neuropatología Experimental, Facultad de Medicina, Instituto de Biología Celular y Neurociencia ""Prof. E. De Robertis"" (IBCN), CONICET Universidad de Buenos Aires, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Neuroinmunomodulación y Oncología Molecular, Instituto de Investigaciones Biomédicas (BIOMED), Pontificia Universidad Católica Argentina (UCA), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Ciudad Autónoma de Buenos Aires, Argentina.",1,1,1
"Laboratorio de Neurofisiopatología, Instituto de Fisiología y Biofísica ""Houssay"" - CONICET (IFIBIO), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina. jogol@fmed.uba.ar.",1,1,1
"Laboratorio de Neurofisiopatología, Instituto de Fisiología y Biofísica ""Houssay"" - CONICET (IFIBIO), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina.",3,1,3
"Laboratorio de Neurofisiopatología, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Houssay"" (IFIBIO), Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.",2,1,2
"Laboratorio de Parkinson Experimental, Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: taravini@ffyb.uba.ar.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas-Academia Nacional de Medicina, 1425 Buenos Aires, Argentina. rominbra@yahoo.com.ar.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas-Academia Nacional de Medicina, 1425 Buenos Aires, Argentina. mpmejias@gmail.com.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas-Academia Nacional de Medicina, 1425 Buenos Aires, Argentina. jimena.abrey@gmail.com.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas-Academia Nacional de Medicina, 1425 Buenos Aires, Argentina. andrea.bruballa@gmail.com.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas-Academia Nacional de Medicina, 1425 Buenos Aires, Argentina. Mspalermo@hematologia.anm.edu.ar.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, (IMEX-CONICET), Academia Nacional de Medicina, Buenos Aires, Argentina.",3,1,3
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, (IMEX)-CONICET-Academia Nacional de Medicina, Buenos Aires C1425, Argentina. marinasandrapalermo@gmail.com.",1,1,1
"Instituto de Investigaciones Farmacológicas (ININFA-CONICET-UBA), Buenos Aires, Argentina.",1,1,1
"Instituto de Investigaciones Farmacológicas (ININFA), Laboratorio de Parkinson Experimental, CONICET - Universidad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina.",2,1,2
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, (IMEX), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)-Academia Nacional de Medicina, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX-CONICET), Academia Nacional de Medicina, Pacheco de Melo 3081, 1425 Buenos Aires, Argentina.",3,1,3
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX-CONICET), Academia Nacional de Medicina, Buenos Aires, Argentina, 1425.",2,1,2
"Instituto de Investigaciones Farmacológicas (ININFA), Laboratorio de Parkinson Experimental, CONICET - Universidad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina. irenetaravini@gmail.com.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX)-CONICET, Academia Nacional de Medicina, J.A. Pacheo de Melo 3081, C1425 CABA, Argentina. Electronic address: mspalermo@hematologia.anm.edu.ar.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX)-CONICET, Academia Nacional de Medicina, J.A. Pacheo de Melo 3081, C1425 CABA, Argentina.",2,1,2
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciones, Instituto de Medicina Experimental (CONICET), Academia Nacional de Medicina, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, (IMEX)-CONICET-Academia Nacional de Medicina, Buenos Aires C1425, Argentina. alanmbernal@gmail.com.",1,1,1
"Laboratorio de Investigación Aplicada a las Neurociencias (LIAN), FLENI - CONICET, Belén de Escobar, Argentina.",1,1,1
"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular, Consejo Nacional de Investigaciones Científicas y Técnicas and Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Buenos Aires, Argentina.",6,1,6
"Laboratorio de Memoria y Cognición Molecular, Instituto de Neurociencia Cognitiva y Traslacional, CONICET-Fundación INECO-Universidad Favaloro, Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina.",3,1,3
"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular, Consejo Nacional de Investigaciones Científicas y Técnicas (INGEBI-CONICET), Buenos Aires, Argentina. Electronic address: elena.avale@conicet.gov.ar.",1,1,1
"Laboratorio de Memoria y Cognición Molecular, Instituto de Neurociencia Cognitiva y Traslacional, Consejo Nacional de Investigaciones Científicas y Técnicas(CONICET)-Fundación INECO-Universidad Favaloro, 1071 Ciudad Autónoma de Buenos Aires, Argentina pbekinschtein@favaloro.edu.ar.",1,1,1
"Laboratorio de Memoria y Cognición Molecular, Instituto de Neurociencia Cognitiva y Traslacional, Consejo Nacional de Investigaciones Científicas y Técnicas(CONICET)-Fundación INECO-Universidad Favaloro, 1071 Ciudad Autónoma de Buenos Aires, Argentina.",5,1,5
"Laboratorio de Memoria, Facultad de Medicina, Instituto de Biología Celular y Neurociencia, Universidad de Buenos Aires-CONICET Buenos Aires, Argentina ; Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires Buenos Aires, Argentina.",1,1,1
"Laboratorio de Memoria, Facultad de Medicina, Instituto de Biología Celular y Neurociencia, Universidad de Buenos Aires-CONICET Buenos Aires, Argentina.",4,1,4
"Laboratorio de Memoria, IBCN, UBA-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121ABG, Argentina.",3,1,3
"Laboratorio de Memoria, IBCN, UBA-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121ABG, Argentina; Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121ABG, Argentina. Electronic address: jmedina@fmed.uba.ar.",1,1,1
"Laboratorio de Nefrología Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Universidad de Buenos Aires, Argentina.",4,1,4
"Laboratorio de Nefrología Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Universidad de Buenos Aires, Argentina. E-mail: sandragvla@gmail.com.",1,1,1
"Laboratorio de Neurobiología Experimental (LNE), CONICET - Facultad de Bromatología, Universidad Nacional de Entre Ríos, Gualeguaychú, Entre Ríos, Argentina. irenetaravini@gmail.com.",1,1,1
"Laboratorio de Neurobiología de la Memoria, Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos AiresBuenos Aires, Argentina.",3,1,3
"Laboratorio de Neurobiología de la Memoria, Dto. Fisiología, Biología Molecular y Celular, Fac. Cs. Exactas y Naturales, UBA/IFIByNE, CONICET, Int. Güiraldes 2160, C1428EGA CABA, Argentina.",1,1,1
"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular (INGEBI), CONICET, Buenos Aires 1428, Argentina.",1,1,1
"Laboratorio de Neurociencia y Comportamiento, Universidad de los Andes. Cra 1 #18A-12, Aguas 111711, Bogotá, Colombia. Electronic address: lucarden@uniandes.edu.co.",1,1,1
"Laboratorio de Neurociencias Integradas, Centro de Investigación Biomédica, Facultad de Medicina, Universidad Diego Portales. Ejército Libertador 141, CP 8370007 Santiago, Chile. Electronic address: juan.montiel@udp.cl.",1,1,1
"Laboratorio de Neuroepigenética, Departamento de Química Biológica, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, and Instituto de Química Biológica de Ciencias Exactas y Naturales, CONICET, Ciudad de Buenos Aires, Argentina.",3,1,3
"Laboratorio de Neurofarmacología de la Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, UBA. Junín, 5th Floor (C1113AAD), 956, Buenos Aires, Argentina. mboccia@ffyb.uba.ar.",1,1,1
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Fac. Farmacia y Bioquímica, UBA, Junín 956, C1113AAD CABA, Argentina.",2,1,2
"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular, Consejo Nacional de Investigaciones Científicas y Técnicas (INGEBI-CONICET), Buenos Aires, Argentina.",3,1,3
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Fac. Farmacia y Bioquímica, UBA, Junín 956, C1113AAD CABA, Argentina. Electronic address: mboccia@ffyb.uba.ar.",1,1,1
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Fac. Farmacia y Bioquímica, Universidad de Buenos Aires/CONICETBuenos Aires, Argentina.",2,1,2
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires (UBA) - CONICET, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires (UBA) - CONICET, Buenos Aires, Argentina. Electronic address: mboccia@ffyb.uba.ar.",1,1,1
"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas-Academia Nacional de Medicina, 1425 Buenos Aires, Argentina. vramos@hematologia.anm.edu.ar.",1,1,1
"Instituto de Investigaciones Neurológicas Dr. Raúl Carrea, FLENI, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Neurofarmacología, Universitat Pompeu Fabra, Barcelona, Spain.",1,1,1
"Laboratorio de Neurofisiología de la Memoria, Instituto de Biología Celular y Neurociencia, Facultad de Medicina (UBA/CONICET) - Instituto Tecnológico de Buenos Aires (ITBA), Buenos Aires, Argentina.",1,1,1
"Laboratorio de Neurofisiopatología, Departamento de Fisiología, Facultad de Medicina, Instituto de Fisiología y Biofísica Bernardo Houssay (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Neurobiología de la Memoria, Dto. Fisiología, Biología Molecular y Celular, Fac. Cs. Exactas y Naturales, UBA/IFIByNE, CONICET, Int. Güiraldes 2160, C1428EGA CABA, Argentina. Electronic address: mfeld@fbmc.fcen.uba.ar.",1,1,1
"MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge CB2 7EF, United Kingdom.",1,1,1
"Machine Learning Applied in Biomedicine (MLAB), Concepción, Chile.",4,1,4
"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina. pwappner@leloir.org.ar.",1,1,1
"Maestría en Ciencia y Tecnología Química, Unidad Académica de Ciencias Químicas, Universidad Autónoma de Zacatecas, Zacatecas 98160, Mexico.",1,1,1
"Magee-Womens Research Institute, Departments of Obstetrics, Gynecology and Reproductive Sciences, Epidemiology, and the Clinical and Translational Science Institute, University of Pittsburgh, Pittsburgh, PA, USA.",1,1,1
"Maurice Wohl Clinical Neuroscience Institute, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK.",1,1,1
"McConnell Brain Imaging Center, Montreal Neurological Institute and Department of Neurology and Neurosurgery, McGill University, Montreal, Quebec, Canada.",1,1,1
"McConnell Brain Imaging Center, Montreal Neurological Institute, McGill University, Montreal, QC H3A 2B4, Canada.",1,1,1
"McConnell Brain Imaging Center, Montreal Neurological Institute, McGill University, Montreal, QC, H3A 2B4, Canada.",1,1,1
"Medical School (Faculty of Medicine), São Paulo State University (UNESP), São Paulo, Brazil.",1,1,1
"Memory Research Laboratory, Brain Institute, Federal University of Rio Grande do Norte (UFRN) Natal, Brazil.",1,1,1
"Memory Research Laboratory, Brain Institute, Federal University of Rio Grande do Norte, Natal, Brazil.",1,1,1
"Menzies Institute for Medical Research, University of Tasmania, Hobart, TAS, 7000, Australia.",1,1,1
"Metabolic Signalling Laboratory, St Vincent's Institute of Medical Research, Fitzroy, Victoria, Australia.",1,1,1
"Microbiology Section, Department of Genetics, Microbiology and Statistics, Faculty of Biology, University of Barcelona, Barcelona, Spain.",1,1,1
"Laboratorio de Patogénesis y de Procesos Infecciosos, Instituto de Medicina Experimental, (IMEX-CONICET), Academia Nacional de Medicina, Argentina. E-mail: marinaspalermo@hotmail.com.",1,1,1
"Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB) CCT CONICET - Universidad Nacional del Sur (UNS), Bahía Blanca, Argentina. Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional Del Sur (UNS), Bahía Blanca, Argentina.",2,1,2
"Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB) CCT CONICET - Universidad Nacional del Sur (UNS), Bahía Blanca, Argentina. drayes@criba.edu.ar.",1,1,1
"Network Center for Biomedical Research in Neurodegenerative Diseases (CIBERNED), Madrid, Spain.",1,1,1
"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, 1405, Argentina.",1,1,1
"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, 1405, Argentina. PWAPPNER@LELOIR.ORG.AR.",1,1,1
"Nephrology Service, Hospital Británico de Buenos Aires, Perdriel 74, 1280, Buenos Aires, Argentina. htrimarchi@hotmail.com.",1,1,1
"Nephrology Service, Hospital Británico de Buenos Aires, Perdriel 74, 1280, Buenos Aires, Argentina.",7,1,7
"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina.",8,1,8
