GeneID,Symbol,TaxID,Ensembl,SwissProt,TrEMBL,RefSeq_RNA,RefSeq_Protein
6097,RORC,9606,['ENSG00000143365'],['P51449'],"['A0A1W2PRM4', 'A0A494C0H2', 'A0A494C0S6', 'A0A494C174', 'A0A8V8TL94', 'A0ACI8PE57', 'A0ACI8PMV8', 'A0ACI8QBI1', 'A0ACI8R2U5', 'A0ACI8RV59', 'B4DPR1', 'F1D8P6', 'Q6I9R9']","['NM_001001523.2', 'NM_005060.4', 'XM_006711484.5', 'XM_047427201.1', 'XM_054338086.1', 'XM_054338087.1']","['NP_001001523.1', 'NP_005051.2', 'XP_006711547.3', 'XP_047283157.1', 'XP_054194061.1', 'XP_054194062.1']"
33569,Thor,7227,['FBgn0261560'],['Q9XZ56'],[],"['NM_001298659.1', 'NM_057947.4']","['NP_001285588.1', 'NP_477295.1']"
43580,sima,7227,['FBgn0266411'],['Q24167'],"['A0A0B4KHI3', 'A0A0B4LIX2', 'B7Z0S3']","['NM_001144657.3', 'NM_001276171.1', 'NM_001300670.1', 'NM_079845.4']","['NP_001138129.1', 'NP_001263100.1', 'NP_001287599.1', 'NP_524584.2']"
41709,foxo,7227,['FBgn0038197'],['Q95V55'],"['A0A0B4KGN1', 'A0A126GUT4']","['NM_001275628.1', 'NM_001316497.1', 'NM_142073.5', 'NM_206482.3', 'NM_206483.3']","['NP_001262557.1', 'NP_001303426.1', 'NP_650330.3', 'NP_996204.1', 'NP_996205.1']"
53947,A4GALT,9606,['ENSG00000128274'],['Q9NPC4'],"['A0A0S2Z5J1', 'Q5D079']","['NM_001318038.3', 'NM_017436.7', 'NR_146459.3', 'XM_005261644.3', 'XM_005261646.5', 'XM_005261647.4', 'XM_005261648.5', 'XM_006724265.4', 'XM_006724266.4', 'XM_011530233.3', 'XM_017028831.2', 'XM_047441412.1', 'XM_054325708.1', 'XM_054325709.1', 'XM_054325710.1', 'XM_054325711.1', 'XM_054325712.1', 'XM_054325713.1', 'XM_054325714.1', 'XM_054325715.1', 'XM_054325716.1', 'XM_054325717.1']","['NP_001304967.1', 'NP_059132.1', 'XP_005261701.1', 'XP_005261703.1', 'XP_005261704.1', 'XP_005261705.1', 'XP_006724328.1', 'XP_006724329.1', 'XP_011528535.1', 'XP_016884320.1', 'XP_047297368.1', 'XP_054181683.1', 'XP_054181684.1', 'XP_054181685.1', 'XP_054181686.1', 'XP_054181687.1', 'XP_054181688.1', 'XP_054181689.1', 'XP_054181690.1', 'XP_054181691.1', 'XP_054181692.1']"
6804,STX1A,9606,['ENSG00000106089'],['Q16623'],"['A0A0C4DFZ1', 'A0ACI8SHZ0', 'A0ACI8TGX8', 'A0ACI8VS67', 'A8MZ54', 'Q75ME0']","['NM_001165903.2', 'NM_004603.4', 'XM_047420777.1', 'XM_047420778.1', 'XM_054358896.1', 'XM_054358897.1']","['NP_001159375.1', 'NP_004594.1', 'XP_047276733.1', 'XP_047276734.1', 'XP_054214871.1', 'XP_054214872.1']"
2054,STX2,9606,['ENSG00000111450'],['P32856'],"['A0A994J596', 'A0A994J599', 'A0A994J5I9', 'A0A994J5V9', 'A0A994J7R2', 'A0A994J7R5', 'A0A994J835', 'A0A994J840', 'A0ACI8TBS5', 'A0ACI8TCV7', 'J3KNU7']","['NM_001351049.2', 'NM_001351050.2', 'NM_001351051.2', 'NM_001351052.2', 'NM_001413773.1', 'NM_001413774.1', 'NM_001413775.1', 'NM_001980.5', 'NM_194356.4', 'NR_182216.1', 'NR_182217.1', 'XM_017018980.3', 'XM_017018981.3', 'XM_017018982.3', 'XM_017018983.3', 'XM_017018984.2', 'XM_017018988.2', 'XM_017018989.2', 'XM_047428491.1', 'XM_047428492.1', 'XM_047428493.1', 'XM_054371392.1', 'XM_054371393.1', 'XM_054371394.1', 'XM_054371395.1', 'XM_054371396.1', 'XM_054371397.1', 'XM_054371398.1', 'XM_054371399.1', 'XM_054371400.1', 'XM_054371401.1']","['NP_001337978.2', 'NP_001337979.1', 'NP_001337980.1', 'NP_001337981.1', 'NP_001400702.1', 'NP_001400703.1', 'NP_001400704.1', 'NP_001971.2', 'NP_919337.1', 'XP_016874469.1', 'XP_016874470.1', 'XP_016874471.1', 'XP_016874472.1', 'XP_016874473.1', 'XP_016874477.1', 'XP_016874478.1', 'XP_047284447.1', 'XP_047284448.1', 'XP_047284449.1', 'XP_054227367.1', 'XP_054227368.1', 'XP_054227369.1', 'XP_054227370.1', 'XP_054227371.1', 'XP_054227372.1', 'XP_054227373.1', 'XP_054227374.1', 'XP_054227375.1', 'XP_054227376.1']"
84557,MAP1LC3A,9606,['ENSG00000101460'],['Q9H492'],"['A0ACI8S3E2', 'A0ACI8U4I7']","['NM_032514.4', 'NM_181509.3', 'XM_011529084.3', 'XM_011529085.3', 'XM_047440558.1', 'XM_047440559.1', 'XM_054324144.1', 'XM_054324145.1', 'XM_054324146.1', 'XM_054324147.1']","['NP_115903.1', 'NP_852610.1', 'XP_011527386.1', 'XP_011527387.1', 'XP_047296514.1', 'XP_047296515.1', 'XP_054180119.1', 'XP_054180120.1', 'XP_054180121.1', 'XP_054180122.1']"
23435,TARDBP,9606,['ENSG00000120948'],['Q13148'],"['A0A087WTG4', 'A0A087WTZ4', 'A0A087WV68', 'A0A087WVX6', 'A0A087WW61', 'A0A087WX29', 'A0A087WX67', 'A0A087WXQ5', 'A0A087WXV3', 'A0A087WYE7', 'A0A087WYY0', 'A0A087WZC9', 'A0A087WZM1', 'A0A087X260', 'A0A0A0MSV7', 'A0A3B3ISL0', 'A0ACI8SN39', 'B1AKP7', 'G3V162', 'K7EJ99', 'K7EJM5', 'K7EL26', 'K7EN94', 'K7ENM9', 'Q9H256']","['NM_007375.4', 'XR_007058558.1', 'XR_007058559.1', 'XR_007058560.1', 'XR_007058561.1', 'XR_007058562.1', 'XR_007058563.1', 'XR_007058564.1', 'XR_008485970.1', 'XR_008485971.1', 'XR_008485972.1', 'XR_008485973.1', 'XR_008485974.1', 'XR_008485975.1', 'XR_008485976.1', 'XR_008485977.1', 'XR_008485978.1', 'XR_008485979.1', 'XR_008485980.1']",['NP_031401.1']
360,AQP3,9606,['ENSG00000165272'],['Q92482'],"['A0A2R8Y2R4', 'A0A2R8YD22', 'A0A2R8YDV4', 'A0ACI8VQH5', 'B4E034']","['NM_001318144.2', 'NM_004925.5', 'XM_047423348.1', 'XM_054362921.1']","['NP_001305073.1', 'NP_004916.1', 'XP_047279304.1', 'XP_054218896.1']"
10725,NFAT5,9606,['ENSG00000102908'],['O94916'],"['A0A494C020', 'A0A499FIS8', 'A0A499FJX5', 'A0ACI8R3E8', 'A0ACI8RS26', 'A0ACI8SBZ2', 'A0ACI8SW32', 'A0ACI8SW75', 'A0ACI8UYK8', 'H3BP21', 'J3KRL6', 'J3QKS5']","['NM_001113178.3', 'NM_001367709.1', 'NM_006599.4', 'NM_138713.4', 'NM_138714.4', 'NM_173214.3', 'NM_173215.3', 'XM_011522817.4', 'XM_011522820.4', 'XM_011522822.4', 'XM_017022872.3', 'XM_047433510.1', 'XM_047433511.1', 'XM_047433512.1', 'XM_047433513.1', 'XM_047433514.1', 'XM_047433515.1', 'XM_054379401.1', 'XM_054379402.1', 'XM_054379403.1', 'XM_054379404.1', 'XM_054379405.1', 'XM_054379406.1', 'XM_054379407.1', 'XM_054379408.1', 'XM_054379409.1', 'XM_054379410.1', 'XR_007064848.1', 'XR_008489049.1']","['NP_001106649.1', 'NP_001354638.1', 'NP_006590.1', 'NP_619727.2', 'NP_619728.2', 'NP_775321.1', 'NP_775322.1', 'XP_011521119.1', 'XP_011521122.1', 'XP_011521124.1', 'XP_016878361.1', 'XP_047289466.1', 'XP_047289467.1', 'XP_047289468.1', 'XP_047289469.1', 'XP_047289470.1', 'XP_047289471.1', 'XP_054235376.1', 'XP_054235377.1', 'XP_054235378.1', 'XP_054235379.1', 'XP_054235380.1', 'XP_054235381.1', 'XP_054235382.1', 'XP_054235383.1', 'XP_054235384.1', 'XP_054235385.1']"
4790,NFKB1,9606,['ENSG00000109320'],['P19838'],"['A0A494C157', 'A0A494C1E9', 'A0A8V8TLB2', 'A0ACI8Q1W8', 'A0ACI8QL49', 'A0ACI8S5U8', 'A0ACI8TYN3', 'A0ACI8TZ27', 'A0ACI8TZA2', 'A0ACI8VIR6', 'A0ACI8VK16', 'A0ACI8VK20', 'A0ACI8VK21', 'A0ACI8VK53', 'A0ACI8VKC2', 'D6RH30']","['NM_001165412.2', 'NM_001319226.2', 'NM_001382625.1', 'NM_001382626.1', 'NM_001382627.1', 'NM_001382628.1', 'NM_003998.4', 'XM_024454068.1', 'XM_024454069.2', 'XM_047415742.1', 'XM_047415743.1', 'XM_047415744.1', 'XM_054350114.1', 'XM_054350115.1', 'XM_054350116.1', 'XM_054350117.1', 'XM_054350118.1']","['NP_001158884.1', 'NP_001306155.1', 'NP_001369554.1', 'NP_001369555.1', 'NP_001369556.1', 'NP_001369557.1', 'NP_003989.2', 'XP_024309836.1', 'XP_024309837.1', 'XP_047271698.1', 'XP_047271699.1', 'XP_047271700.1', 'XP_054206089.1', 'XP_054206090.1', 'XP_054206091.1', 'XP_054206092.1', 'XP_054206093.1']"
581,BAX,9606,['ENSG00000087088'],['Q07812'],"['A0A0A0MTJ3', 'A0ACI8RQF2', 'H0YA56', 'I6LPK7', 'Q5ZPJ0', 'Q5ZPJ1']","['NM_001291428.2', 'NM_001291429.2', 'NM_001291430.2', 'NM_001291431.2', 'NM_004324.4', 'NM_138761.4', 'NM_138762.2', 'NM_138763.4', 'NM_138764.5', 'NR_027882.2', 'XM_047439168.1']","['NP_001278357.1', 'NP_001278358.1', 'NP_001278359.1', 'NP_001278360.1', 'NP_004315.1', 'NP_620116.1', 'NP_620118.1', 'NP_620119.2', 'XP_047295124.1']"
596,BCL2,9606,['ENSG00000171791'],['P10415'],"['A0A7I2V3S7', 'A0A7I2V4W1', 'A0A7I2V5Q7', 'A0A7I2V5Q9']","['NM_000633.3', 'NM_000657.3', 'NM_001438935.1', 'XM_011526135.4', 'XM_047437733.1', 'XM_047437734.1', 'XM_054318966.1', 'XR_008485021.1']","['NP_000624.2', 'NP_000648.2', 'NP_001425864.1', 'XP_011524437.1', 'XP_047293689.1', 'XP_047293690.1', 'XP_054174941.1']"
1644,DDC,9606,['ENSG00000132437'],['P20711'],"['A0A087WU57', 'A0A087WV24', 'A0A0S2Z3N4', 'A0ACI8QMY7', 'A0ACI8QN02', 'A0ACI8QN53', 'A0ACI8R5N5', 'A0ACI8RJY1', 'A0ACI8RNZ8', 'A0ACI8RTC6', 'A0ACI8RVH6', 'A0ACI8RYI4', 'A0ACI8S404', 'A0ACI8SFS5', 'A0ACI8VAA8', 'C9JMP0', 'F8WER1', 'H7BZF7', 'Q53Y41']","['NM_000790.4', 'NM_001082971.2', 'NM_001242886.2', 'NM_001242887.2', 'NM_001242888.2', 'NM_001242889.2', 'NM_001242890.2', 'XM_005271745.5', 'XM_047419931.1', 'XM_047419932.1', 'XM_054357371.1', 'XM_054357372.1', 'XM_054357373.1']","['NP_000781.2', 'NP_001076440.2', 'NP_001229815.2', 'NP_001229816.2', 'NP_001229817.2', 'NP_001229818.2', 'NP_001229819.2', 'XP_005271802.1', 'XP_047275887.1', 'XP_047275888.1', 'XP_054213346.1', 'XP_054213347.1', 'XP_054213348.1']"
793,CALB1,9606,['ENSG00000104327'],['P05937'],"['A0ACI8QFF6', 'A0ACI8R5A1', 'A0ACI8T0U1', 'E5RG14', 'E5RIZ8']","['NM_001366795.1', 'NM_004929.4']","['NP_001353724.1', 'NP_004920.1']"
7432,VIP,9606,['ENSG00000146469'],['P01282'],"['A0ACI8QMR6', 'H0Y763']","['NM_003381.4', 'NM_194435.3', 'XM_005267135.4', 'XM_006715562.5', 'XM_054356314.1', 'XM_054356315.1']","['NP_003372.1', 'NP_919416.1', 'XP_005267192.1', 'XP_006715625.1', 'XP_054212289.1', 'XP_054212290.1']"
42490,Mvl,7227,['FBgn0011672'],['P49283'],"['A0A0B4K7L4', 'A0A0B4KGL5', 'A4V370', 'B5X0J8']","['NM_001170197.1', 'NM_001260292.1', 'NM_001275866.1', 'NM_079701.5', 'NM_169944.3', 'NM_206529.2']","['NP_001163668.1', 'NP_001247221.1', 'NP_001262795.1', 'NP_524425.2', 'NP_732584.1', 'NP_996251.2']"
46415,Fer1HCH,7227,['FBgn0015222'],['Q7KRU8'],"['A0A0B4K6N3', 'A0A0B4KI27', 'B8A405']","['NM_001260437.1', 'NM_001260438.2', 'NM_001276175.2', 'NM_001300679.1', 'NM_080134.4', 'NM_170479.3', 'NM_170480.3', 'NM_170481.3', 'NM_170482.3']","['NP_001247366.1', 'NP_001247367.1', 'NP_001263104.1', 'NP_001287608.1', 'NP_524873.1', 'NP_733358.1', 'NP_733359.1', 'NP_733360.1', 'NP_733361.1']"
32260,Fer3HCH,7227,['FBgn0030449'],[],"['Q1PJ53', 'Q9VYH1']",['NM_132626.2'],['NP_572854.1']
7056,THBD,9606,['ENSG00000178726'],['P07204'],[],['NM_000361.3'],['NP_000352.1']
3091,HIF1A,9606,['ENSG00000100644'],['Q16665'],"['A0ACI8R717', 'A0ACI8SEG4', 'A0ACI8SXR0', 'A0ACI8SXS2', 'A0ACI8SXW7', 'A0ACI8SXY2', 'A0ACI8SXY3', 'A0ACI8SXZ0', 'A0ACI8SXZ3', 'A0ACI8SY66', 'A0ACI8SYA3', 'A0ACI8SYA4', 'A0ACI8U455', 'A0ACI8U473', 'A0ACI8U475', 'A0ACI8U493', 'A8MYV6', 'D0VY79']","['NM_001243084.2', 'NM_001530.4', 'NM_181054.3']","['NP_001230013.1', 'NP_001521.1', 'NP_851397.1']"
9314,KLF4,9606,['ENSG00000136826'],['O43474'],"['A0A087X0S4', 'B7ZBT2']","['NM_001314052.2', 'NM_004235.6']","['NP_001300981.1', 'NP_004226.3']"
59341,TRPV4,9606,['ENSG00000111199'],['Q9HBA0'],"['A0A6Q8PFZ3', 'F5H6Q4']","['NM_001177428.2', 'NM_001177431.2', 'NM_001177433.2', 'NM_021625.5', 'NM_147204.3', 'XM_011538630.3', 'XM_011538631.3', 'XM_011538632.3', 'XM_011538633.3', 'XM_011538634.3', 'XM_011538635.3', 'XM_017019774.2', 'XM_047429293.1', 'XM_047429294.1', 'XM_047429295.1', 'XM_047429296.1', 'XM_054372798.1', 'XM_054372799.1', 'XM_054372800.1', 'XM_054372801.1', 'XM_054372802.1', 'XM_054372803.1', 'XM_054372804.1', 'XM_054372805.1', 'XM_054372806.1', 'XM_054372807.1', 'XM_054372808.1']","['NP_001170899.1', 'NP_001170902.1', 'NP_001170904.1', 'NP_067638.3', 'NP_671737.1', 'XP_011536932.2', 'XP_011536933.2', 'XP_011536934.2', 'XP_011536935.2', 'XP_011536936.2', 'XP_011536937.1', 'XP_016875263.1', 'XP_047285249.1', 'XP_047285250.1', 'XP_047285251.1', 'XP_047285252.1', 'XP_054228773.1', 'XP_054228774.1', 'XP_054228775.1', 'XP_054228776.1', 'XP_054228777.1', 'XP_054228778.1', 'XP_054228779.1', 'XP_054228780.1', 'XP_054228781.1', 'XP_054228782.1', 'XP_054228783.1']"
14281,Fos,10090,"['ENSFALG00000024693', 'ENSMPUG00000009153', 'ENSMSIG00000010924', 'ENSMUSG00000021250', 'ENSNVIG00000015338']",['P01101'],[],['NM_010234.3'],['NP_034364.1']
83626,Ugcg,10116,['ENSRNOG00000015644'],['Q9R0E0'],[],['NM_031795.2'],['NP_113983.1']
25240,Aqp1,10116,['ENSRNOG00000011648'],['P29975'],['A0ABK0LD92'],['NM_012778.2'],['NP_036910.1']
170496,Lcn2,10116,['ENSRNOG00000013973'],['P30152'],[],"['NM_130741.2', 'XM_063283025.1', 'XM_063283026.1']","['NP_570097.2', 'XP_063139095.1', 'XP_063139096.1']"
20604,Sst,10090,"['ENSFALG00000007412', 'ENSMSIG00000026310', 'ENSMUSG00000004366', 'ENSNVIG00000020446']",['P60041'],['Q545V6'],"['NM_001417475.1', 'NM_009215.2']","['NP_001404404.1', 'NP_033241.1']"
13488,Drd1,10090,"['ENSMSIG00000007538', 'ENSMUSG00000021478']",['Q61616'],['A0A1Y7VK92'],"['NM_001291801.1', 'NM_010076.3']","['NP_001278730.1', 'NP_034206.1']"
6548,SLC9A1,9606,['ENSG00000090020'],['P19634'],"['A0ACI8PC12', 'B1ALD5', 'B2RAH2']","['NM_003047.5', 'NR_046474.2', 'XM_011542021.4', 'XM_047428769.1', 'XM_054338446.1', 'XM_054338447.1']","['NP_003038.2', 'XP_011540323.1', 'XP_047284725.1', 'XP_054194421.1', 'XP_054194422.1']"
7431,VIM,9606,['ENSG00000026025'],['P08670'],"['A0A1B0GTT5', 'A0A1B0GVG8', 'A0ACI8QCJ9', 'A0ACI8R6P1', 'A0ACI8RS47', 'A0ACI8UE64', 'A0ACI8UE69', 'A0ACI8UE78', 'B0YJC4', 'B0YJC5', 'V9HWE1']",['NM_003380.5'],['NP_003371.2']
5291,PIK3CB,9606,['ENSG00000051382'],['P42338'],"['A0ACI8QI42', 'A0ACI8R0Q4', 'A0ACI8RA30', 'A0ACI8RGJ9', 'A0ACI8U1S4', 'A0ACI8U1Z2', 'A0ACI8U2A4', 'A0ACI8U2B8', 'A0ACI8U2H6', 'A0ACI8U2I5', 'A0ACI8U2L7', 'B4DER4', 'C9J345', 'C9JYX0', 'F8WDJ8', 'H0Y871', 'H7C527', 'H7C565', 'H7C5C3']","['NM_001256045.2', 'NM_001437286.1', 'NM_001437287.1', 'NM_001437288.1', 'NM_001437289.1', 'NM_001437290.1', 'NM_001437291.1', 'NM_001437292.1', 'NM_001437293.1', 'NM_006219.3', 'XM_047448307.1', 'XM_047448309.1', 'XM_047448310.1', 'XM_047448315.1', 'XM_054346851.1', 'XM_054346858.1']","['NP_001242974.1', 'NP_001424215.1', 'NP_001424216.1', 'NP_001424217.1', 'NP_001424218.1', 'NP_001424219.1', 'NP_001424220.1', 'NP_001424221.1', 'NP_001424222.1', 'NP_006210.1', 'XP_047304263.1', 'XP_047304265.1', 'XP_047304266.1', 'XP_047304271.1', 'XP_054202826.1', 'XP_054202833.1']"
79213,Slc6a11,10116,['ENSRNOG00000005697'],['P31647'],[],['NM_024372.2'],['NP_077348.1']
170913,Abcb1a,10116,['ENSRNOG00000008012'],[],['A0A9K3Y745'],"['NM_133401.3', 'XM_006235994.5', 'XM_063285445.1']","['NP_596892.1', 'XP_006236056.1', 'XP_063141515.1']"
24646,Abcb1b,10116,['ENSRNOG00000066042'],[],"['A0A8I6A8Y5', 'A0A8I6AMR4', 'D4A0Y9', 'G3V9J6', 'Q8R427']","['NM_001435556.1', 'NM_001435557.1', 'NM_001435558.1', 'NM_012623.4', 'XM_017592469.3', 'XM_039107052.2', 'XM_039107053.2']","['NP_001422485.1', 'NP_001422486.1', 'NP_001422487.1', 'NP_036755.3', 'XP_017447958.1', 'XP_038962980.1', 'XP_038962981.1']"
171144,Slco4a1,10116,['ENSRNOG00000053430'],[],"['A0A0G2K8R0', 'Q4V8N6']","['NM_133608.2', 'XM_017591449.2', 'XM_039104196.2', 'XM_039104197.2', 'XM_063283042.1', 'XR_005501764.2', 'XR_005501765.2']","['NP_598292.2', 'XP_017446938.1', 'XP_038960124.1', 'XP_038960125.1', 'XP_063139112.1']"
171049,Folr1,10116,['ENSRNOG00000019902'],[],['G3V8M6'],"['NM_133527.2', 'XM_006229842.5', 'XM_017588710.3', 'XM_017588711.3', 'XM_039085665.2', 'XM_039085707.2', 'XM_039085757.2', 'XM_063273293.1', 'XM_063273361.1', 'XM_063273405.1']","['NP_598211.2', 'XP_006229904.1', 'XP_017444199.1', 'XP_017444200.1', 'XP_038941593.1', 'XP_038941635.1', 'XP_038941685.1', 'XP_063129363.1', 'XP_063129431.1', 'XP_063129475.1']"
29723,Slc19a1,10116,['ENSRNOG00000001232'],['Q62866'],['A0A8L2ULJ0'],"['NM_001035232.1', 'NM_017299.2', 'XM_039098630.2', 'XM_039098631.2', 'XM_039098632.2', 'XM_039098633.2', 'XM_039098634.2']","['NP_001030309.1', 'NP_058995.2', 'XP_038954558.1', 'XP_038954559.1', 'XP_038954560.1', 'XP_038954561.1', 'XP_038954562.1']"
50719,Slc7a5,10116,['ENSRNOG00000018824'],['Q63016'],[],['NM_017353.2'],['NP_059049.1']
230908,Tardbp,10090,"['ENSMPUG00000016443', 'ENSMSIG00000011917', 'ENSMUSG00000041459', 'ENSNVIG00000007684']",['Q921F2'],"['A0A087WNY6', 'A0A087WP57', 'A0A087WQ63', 'A0A087WQA5', 'A0A087WQT4', 'A0A087WQX8', 'A0A087WR97', 'A0A087WRP4', 'A0A087WRZ5', 'A0A087WS17', 'A0A087WS74', 'A0A087WSC6', 'A0A087WSE4', 'A0A087WSH7', 'F7CI97', 'F7CMC9', 'F7D711', 'F8WHX5', 'H3BJV1', 'Q544R5', 'Q6VYI4', 'Q6VYI5', 'Q8BLD4', 'Q8BUM1', 'Q8R0B4']","['NM_001003898.3', 'NM_001003899.2', 'NM_001008545.2', 'NM_001008546.2', 'NM_001305425.1', 'NM_145556.4', 'NR_027864.1', 'NR_131120.1', 'NR_149751.1', 'XR_390742.5']","['NP_001003898.1', 'NP_001003899.1', 'NP_001008545.1', 'NP_001008546.1', 'NP_001292354.1', 'NP_663531.1']"
11829,Aqp4,10090,"['ENSMSIG00000029765', 'ENSMUSG00000024411', 'ENSNVIG00000018926']",['P55088'],"['A0A0R4J0Z3', 'A0A3Q4EI78', 'A0A5F8MQ17', 'Q50H70', 'Q8BR89']","['NM_001308641.1', 'NM_001308642.1', 'NM_001308643.1', 'NM_001308644.1', 'NM_001308645.1', 'NM_001308646.1', 'NM_001308647.2', 'NM_001317729.1', 'NM_009700.3']","['NP_001295570.1', 'NP_001295571.1', 'NP_001295572.1', 'NP_001295573.1', 'NP_001295574.1', 'NP_001295575.1', 'NP_001295576.1', 'NP_001304658.1', 'NP_033830.2']"
1401,CRP,9606,['ENSG00000132693'],['P02741'],"['C9JRE9', 'Q5VVP7']","['NM_000567.3', 'NM_001329057.2', 'NM_001329058.2', 'NM_001382703.1']","['NP_000558.2', 'NP_001315986.1', 'NP_001315987.1', 'NP_001369632.1']"
135,ADORA2A,9606,['ENSG00000128271'],['P29274'],"['A8K1F6', 'B3KVQ4', 'C9J0Z4', 'C9J3T2', 'C9JFS2', 'C9JQD8', 'S4R2Z8', 'S4R3A7', 'S4R429', 'X5DNB4']","['NM_000675.6', 'NM_001278497.2', 'NM_001278498.2', 'NM_001278499.2', 'NM_001278500.2', 'NR_103543.2', 'NR_103544.2']","['NP_000666.2', 'NP_001265426.1', 'NP_001265427.1', 'NP_001265428.1', 'NP_001265429.1']"
