PMID,Section,EntityType,Mention,NormalizedName,NormalizedID,Database,Valid
39947439,title,Disease,neurotoxicity,Neurotoxicity Syndromes,D020258,ncbi_mesh,True
39947439,title,Chemical,methamphetamine,Methamphetamine,D008694,ncbi_mesh,True
39947439,title,Gene,dopamine transporter,SLC6A3,6531,ncbi_gene,True
39947439,title,Gene,DAT,SLC6A3,6531,ncbi_gene,True
39947439,abstract,Chemical,Methamphetamine,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Chemical,METH,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Chemical,METH,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Chemical,dopaminergic,Dopamine,D004298,ncbi_mesh,True
39947439,abstract,Disease,Parkinson's disease,Parkinson Disease,D010300,ncbi_mesh,True
39947439,abstract,Chemical,METH,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Chemical,dopaminergic,Dopamine,D004298,ncbi_mesh,True
39947439,abstract,Disease,neurotoxicity,Neurotoxicity Syndromes,D020258,ncbi_mesh,True
39947439,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
39947439,abstract,Chemical,METH,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Chemical,dopaminergic,Dopamine,D004298,ncbi_mesh,True
39947439,abstract,Chemical,Dopaminergic,Dopamine,D004298,ncbi_mesh,True
39947439,abstract,Gene,tyrosine hydroxylase,TH,7054,ncbi_gene,True
39947439,abstract,Gene,TH,TH,7054,ncbi_gene,True
39947439,abstract,Gene,vesicular monoamine transporter 2,SLC18A2,6571,ncbi_gene,True
39947439,abstract,Gene,VMAT2,SLC18A2,6571,ncbi_gene,True
39947439,abstract,Gene,dopamine transporter,SLC6A3,6531,ncbi_gene,True
39947439,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True
39947439,abstract,Disease,neuroinflammation,Neuroinflammatory Diseases,D000090862,ncbi_mesh,True
39947439,abstract,Chemical,dopaminergic,Dopamine,D004298,ncbi_mesh,True
39947439,abstract,Chemical,METH,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Disease,neurotoxicity,Neurotoxicity Syndromes,D020258,ncbi_mesh,True
39947439,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True
39947439,abstract,Chemical,METH,Methamphetamine,D008694,ncbi_mesh,True
39947439,abstract,Disease,neurotoxic,Neurotoxicity Syndromes,D020258,ncbi_mesh,True
39955250,title,Gene,AQUAPORIN-9,AQP9,366,ncbi_gene,True
39955250,title,Disease,preeclampsia,Pre-Eclampsia,D011225,ncbi_mesh,True
39955250,abstract,Disease,Preeclampsia,Pre-Eclampsia,D011225,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Disease,preeclamptic,Preeclamptic toxemia,C538543,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Disease,preeclampsia,Pre-Eclampsia,D011225,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Chemical,3NyT,,,,False
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Disease,preeclamptic,Preeclamptic toxemia,C538543,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Chemical,ONOO-,,,,False
39955250,abstract,Chemical,Water,Water,D014867,ncbi_mesh,True
39955250,abstract,Chemical,lactate,Lactic Acid,D019344,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Disease,preeclamptic,Preeclamptic toxemia,C538543,ncbi_mesh,True
39955250,abstract,Chemical,Peroxynitrite,Peroxynitrous Acid,D030421,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Chemical,water,Water,D014867,ncbi_mesh,True
39955250,abstract,Chemical,lactate,Lactic Acid,D019344,ncbi_mesh,True
39955250,abstract,Gene,AQP9,AQP9,366,ncbi_gene,True
39955250,abstract,Disease,preeclampsia,Pre-Eclampsia,D011225,ncbi_mesh,True
40012853,title,Disease,Neuroinflammatory,Neuroinflammatory Diseases,D000090862,ncbi_mesh,True
40012853,title,Disease,neurological disorders,Neurologic Manifestations,D009461,ncbi_mesh,True
40451786,abstract,Disease,death,Death,D003643,ncbi_mesh,True
40527250,title,Gene,Aquaporin-1,AQP1,358,ncbi_gene,True
40527250,title,Gene,aquaporin-4,AQP4,361,ncbi_gene,True
40527250,title,Species,human,9606,9606,ncbi_taxonomy,True
40527250,title,Gene,caveolin-1,CAV1,857,ncbi_gene,True
40553107,title,Disease,dyskinetic,Cerebral Palsy,D002547,ncbi_mesh,True
40553107,title,Species,mice,10090,10090,ncbi_taxonomy,True
40553107,title,Gene,dopamine D5 receptor,Drd5,13492,ncbi_gene,True
40553107,abstract,Chemical,glutamate,Glutamic Acid,D018698,ncbi_mesh,True
40553107,abstract,Chemical,dopamine,Dopamine,D004298,ncbi_mesh,True
40553107,abstract,Gene,D2R,Drd2,13489,ncbi_gene,True
40553107,abstract,Disease,parkinsonian,Parkinson Disease,D010300,ncbi_mesh,True
40553107,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
40553107,abstract,Disease,dyskinetic,Cerebral Palsy,D002547,ncbi_mesh,True
40553107,abstract,Chemical,L-DOPA,Levodopa,D007980,ncbi_mesh,True
40553107,abstract,Gene,D5R,Drd5,13492,ncbi_gene,True
40553107,abstract,Chemical,clozapine,Clozapine,D003024,ncbi_mesh,True
40553107,abstract,Gene,D5R,Drd5,13492,ncbi_gene,True
40553107,abstract,Chemical,quinpirole,Quinpirole,D019257,ncbi_mesh,True
40553107,abstract,Chemical,sumanirole,U 95666E,C108539,ncbi_mesh,True
40553107,abstract,Disease,dyskinetic,Cerebral Palsy,D002547,ncbi_mesh,True
40553107,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
40553107,abstract,Disease,parkinsonian,Parkinson Disease,D010300,ncbi_mesh,True
40553107,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
40553107,abstract,Disease,dyskinetic,Cerebral Palsy,D002547,ncbi_mesh,True
40553107,abstract,Disease,dyskinetic,Cerebral Palsy,D002547,ncbi_mesh,True
40553107,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
40553107,abstract,Gene,D5R,Drd5,13492,ncbi_gene,True
40553107,abstract,Disease,Parkinson's disease,Parkinson Disease,D010300,ncbi_mesh,True
40577142,title,Chemical,Sodium,Sodium,D012964,ncbi_mesh,True
40577142,title,Gene,CD4+,CD4,920,ncbi_gene,True
40577142,title,Disease,renal inflammation,Inflammation,D007249,ncbi_mesh,True
40577142,abstract,Species,women,9606,9606,ncbi_taxonomy,True
40577142,abstract,Chemical,sodium,Sodium,D012964,ncbi_mesh,True
40577142,abstract,Species,women,9606,9606,ncbi_taxonomy,True
40577142,abstract,Chemical,sodium,Sodium,D012964,ncbi_mesh,True
40577142,abstract,Disease,hypertension,Hypertension,D006973,ncbi_mesh,True
40577142,abstract,Chemical,salt,Salts,D012492,ncbi_mesh,True
40577142,abstract,Species,rats,10116,10116,ncbi_taxonomy,True
40577142,abstract,Chemical,sodium,Sodium,D012964,ncbi_mesh,True
40577142,abstract,Species,rats,10116,10116,ncbi_taxonomy,True
40577142,abstract,Chemical,sodium,Sodium,D012964,ncbi_mesh,True
40577142,abstract,Disease,inflammatory,Inflammation,D007249,ncbi_mesh,True
40577142,abstract,Disease,hypertension,Hypertension,D006973,ncbi_mesh,True
40577142,abstract,Disease,renal damage,Kidney Diseases,D007674,ncbi_mesh,True
40577142,abstract,Species,women,9606,9606,ncbi_taxonomy,True
40577142,abstract,Chemical,sodium,Sodium,D012964,ncbi_mesh,True
40587395,title,Species,Human,9606,9606,ncbi_taxonomy,True
40587395,abstract,Species,Human,9606,9606,ncbi_taxonomy,True
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,Species,patients,9606,9606,ncbi_taxonomy,True
40587395,abstract,Chemical,RPMI 1640,,,,False
40587395,abstract,Chemical,CO2at,,,,False
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,Species,human,9606,9606,ncbi_taxonomy,True
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,Disease,cytotoxic,Drug-Related Side Effects and Adverse Reactions,D064420,ncbi_mesh,True
40587395,abstract,Disease,hemolytic uremic syndrome,Hemolytic-Uremic Syndrome,D006463,ncbi_mesh,True
40587395,abstract,Disease,HUS,Hemolytic-Uremic Syndrome,D006463,ncbi_mesh,True
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,CellLine,HRTEC,WN15,WN15,cvcl,True
40587395,abstract,Species,human,9606,9606,ncbi_taxonomy,True
40595449,title,Species,Drosophila,7227,7227,ncbi_taxonomy,True
40595449,abstract,Species,Drosophila,7227,7227,ncbi_taxonomy,True
40595449,abstract,Species,mammalian,9606,9606,ncbi_taxonomy,True
40595449,abstract,Species,mammalian,9606,9606,ncbi_taxonomy,True
40595449,abstract,Gene,TOR,RORC,6097,ncbi_gene,True
40603573,title,Gene,4EBP,Thor,33569,ncbi_gene,True
40603573,title,Gene,Thor,Thor,33569,ncbi_gene,True
40603573,title,Species,Drosophila,7227,7227,ncbi_taxonomy,True
40603573,title,Disease,hypoxia,Hypoxia,D000860,ncbi_mesh,True
40603573,abstract,Disease,hypoxia,Hypoxia,D000860,ncbi_mesh,True
40603573,abstract,Gene,Sima,sima,43580,ncbi_gene,True
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True
40603573,abstract,Species,Drosophila,7227,7227,ncbi_taxonomy,True
40603573,abstract,Disease,hypoxia,Hypoxia,D000860,ncbi_mesh,True
40603573,abstract,Gene,Sima,sima,43580,ncbi_gene,True
40603573,abstract,Gene,Foxo,foxo,41709,ncbi_gene,True
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True
40603573,abstract,Species,fly,7227,7227,ncbi_taxonomy,True
40603573,abstract,Disease,hypoxia,Hypoxia,D000860,ncbi_mesh,True
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True
40603573,abstract,Chemical,reactive oxygen species,Reactive Oxygen Species,D017382,ncbi_mesh,True
40603573,abstract,Chemical,ROS,Reactive Oxygen Species,D017382,ncbi_mesh,True
40603573,abstract,Disease,hypoxia,Hypoxia,D000860,ncbi_mesh,True
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True
40603573,abstract,Species,fly,7227,7227,ncbi_taxonomy,True
40603573,abstract,Disease,hypoxia,Hypoxia,D000860,ncbi_mesh,True
40603573,abstract,Chemical,ROS,Reactive Oxygen Species,D017382,ncbi_mesh,True
40603573,abstract,Chemical,oxygen,Oxygen,D010100,ncbi_mesh,True
40617562,title,Species,Escherichia coli,562,562,ncbi_taxonomy,True
40617562,title,Gene,GB3,A4GALT,53947,ncbi_gene,True
40617562,title,Disease,triple negative breast cancer,Triple Negative Breast Neoplasms,D064726,ncbi_mesh,True
40617562,abstract,Species,Escherichia coli,562,562,ncbi_taxonomy,True
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True
40617562,abstract,Disease,triple negative breast cancer,Triple Negative Breast Neoplasms,D064726,ncbi_mesh,True
40617562,abstract,Disease,TNBC,Triple Negative Breast Neoplasms,D064726,ncbi_mesh,True
40617562,abstract,Disease,TNBC,Triple Negative Breast Neoplasms,D064726,ncbi_mesh,True
40617562,abstract,CellLine,MDA-MB-231,0062,0062,cvcl,True
40617562,abstract,CellLine,NMuMG,0075,0075,cvcl,True
40617562,abstract,CellLine,VERO,0059,0059,cvcl,True
40617562,abstract,CellLine,MDA-MB-231,0062,0062,cvcl,True
40617562,abstract,Disease,tumor,Neoplasms,D009369,ncbi_mesh,True
40617562,abstract,CellLine,VERO,0059,0059,cvcl,True
40617562,abstract,CellLine,MDA-MB-231,0062,0062,cvcl,True
40617562,abstract,CellLine,NMuMG,0075,0075,cvcl,True
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True
40617562,abstract,Chemical,MTT,monooxyethylene trimethylolpropane tristearate,C070243,ncbi_mesh,True
40617562,abstract,CellLine,MDA-MB-231,0062,0062,cvcl,True
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True
40617562,abstract,CellLine,NMuMG,0075,0075,cvcl,True
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True
40617562,abstract,CellLine,MDA-MB-231,0062,0062,cvcl,True
40617562,abstract,Gene,LC3,MAP1LC3A,84557,ncbi_gene,True
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True
40617562,abstract,Chemical,PPMP,4-propionyloxy-4-phenyl-N-methylpiperidine,C026733,ncbi_mesh,True
40617562,abstract,Gene,TAR-DNA-binding protein-43,TARDBP,23435,ncbi_gene,True
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True
40617562,abstract,Disease,TNBC,Triple Negative Breast Neoplasms,D064726,ncbi_mesh,True
40744730,title,Species,human,9606,9606,ncbi_taxonomy,True
40744730,abstract,Species,human,9606,9606,ncbi_taxonomy,True
40744730,abstract,Species,patient,9606,9606,ncbi_taxonomy,True
40744730,abstract,Species,human,9606,9606,ncbi_taxonomy,True
40744730,abstract,Species,human,9606,9606,ncbi_taxonomy,True
40766632,title,Disease,functional,Conversion Disorder,D003291,ncbi_mesh,True
40766632,title,Disease,neurodegeneration,Neurodegenerative Diseases,D019636,ncbi_mesh,True
40766632,title,Species,C. elegans,328850,328850,ncbi_taxonomy,True
40766632,abstract,Disease,proteinopathies,Proteostasis Deficiencies,D057165,ncbi_mesh,True
40766632,abstract,Disease,amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,D000690,ncbi_mesh,True
40766632,abstract,Disease,ALS,Amyotrophic Lateral Sclerosis,D000690,ncbi_mesh,True
40766632,abstract,Disease,frontotemporal dementia,Frontotemporal Dementia,D057180,ncbi_mesh,True
40766632,abstract,Disease,FTD,Frontotemporal Dementia,D057180,ncbi_mesh,True
40766632,abstract,Disease,neuronal dysfunction,Neurologic Manifestations,D009461,ncbi_mesh,True
40766632,abstract,Disease,degeneration,Nerve Degeneration,D009410,ncbi_mesh,True
40766632,abstract,Disease,functional,Conversion Disorder,D003291,ncbi_mesh,True
40766632,abstract,Species,Caenorhabditis elegans,6239,6239,ncbi_taxonomy,True
40766632,abstract,Species,human,9606,9606,ncbi_taxonomy,True
40766632,abstract,Chemical,serotonin,Serotonin,D012701,ncbi_mesh,True
40766632,abstract,Disease,ALS,Amyotrophic Lateral Sclerosis,D000690,ncbi_mesh,True
40766632,abstract,Disease,FTD,Frontotemporal Dementia,D057180,ncbi_mesh,True
40766632,abstract,Species,C. elegans,328850,328850,ncbi_taxonomy,True
40766632,abstract,Chemical,serotonin,Serotonin,D012701,ncbi_mesh,True
40766632,abstract,Disease,neuronal dysfunction,Neurologic Manifestations,D009461,ncbi_mesh,True
40766632,abstract,Disease,neurodegeneration,Neurodegenerative Diseases,D019636,ncbi_mesh,True
40766632,abstract,Chemical,serotonin,Serotonin,D012701,ncbi_mesh,True
40766632,abstract,Chemical,fluoxetine,Fluoxetine,D005473,ncbi_mesh,True
40766632,abstract,Disease,functional,Conversion Disorder,D003291,ncbi_mesh,True
40766632,abstract,Species,C. elegans,328850,328850,ncbi_taxonomy,True
40766632,abstract,Disease,ALS,Amyotrophic Lateral Sclerosis,D000690,ncbi_mesh,True
40766632,abstract,Disease,FTD,Frontotemporal Dementia,D057180,ncbi_mesh,True
40882494,title,Gene,Aquaporin-1,AQP1,358,ncbi_gene,True
40882494,title,Gene,aquaporin-4,AQP4,361,ncbi_gene,True
40882494,title,Species,human,9606,9606,ncbi_taxonomy,True
40882494,title,Gene,caveolin-1,CAV1,857,ncbi_gene,True
41014673,title,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,aquaporin 3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Species,human,9606,9606,ncbi_taxonomy,True
41014673,abstract,Species,human,9606,9606,ncbi_taxonomy,True
41014673,abstract,CellLine,WISH,1909,1909,cvcl,True
41014673,abstract,Species,human,9606,9606,ncbi_taxonomy,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True
41014673,abstract,Gene,NF-kappaB,NFKB1,4790,ncbi_gene,True
41014673,abstract,Chemical,MTT,monooxyethylene trimethylolpropane tristearate,C070243,ncbi_mesh,True
41014673,abstract,Gene,Bax,BAX,581,ncbi_gene,True
41014673,abstract,Gene,Bcl-2,BCL2,596,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Chemical,water,Water,D014867,ncbi_mesh,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True
41014673,abstract,Gene,NF-kappaB,NFKB1,4790,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Chemical,water,Water,D014867,ncbi_mesh,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True
41014673,abstract,Disease,oligohydramnios,Oligohydramnios,D016104,ncbi_mesh,True
41014673,abstract,Disease,membrane rupture,Fetal Membranes Premature Rupture,D005322,ncbi_mesh,True
41040166,title,Species,human,9606,9606,ncbi_taxonomy,True
41040166,abstract,Species,human,9606,9606,ncbi_taxonomy,True
41040166,abstract,Chemical,water,Water,D014867,ncbi_mesh,True
41040166,abstract,Disease,swelling,Edema,D004487,ncbi_mesh,True
41040166,abstract,Species,human,9606,9606,ncbi_taxonomy,True
41183746,title,Species,humans,9606,9606,ncbi_taxonomy,True
41183746,abstract,Species,mouse,10090,10090,ncbi_taxonomy,True
41183746,abstract,Species,human,9606,9606,ncbi_taxonomy,True
41183746,abstract,Gene,tyrosine hydroxylase,TH,7054,ncbi_gene,True
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True
41183746,abstract,Gene,aromatic L-amino acid decarboxylase,DDC,1644,ncbi_gene,True
41183746,abstract,Gene,AADC,DDC,1644,ncbi_gene,True
41183746,abstract,Chemical,dopamine,Dopamine,D004298,ncbi_mesh,True
41183746,abstract,Gene,dopamine transporter,SLC6A3,6531,ncbi_gene,True
41183746,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True
41183746,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True
41183746,abstract,Chemical,dopamine,Dopamine,D004298,ncbi_mesh,True
41183746,abstract,Gene,calbindin,CALB1,793,ncbi_gene,True
41183746,abstract,Gene,vasoactive intestinal peptide,VIP,7432,ncbi_gene,True
41183746,abstract,Gene,VIP,VIP,7432,ncbi_gene,True
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True
41183746,abstract,Disease,neuropsychiatric disease,Disease,D004194,ncbi_mesh,True
41208638,title,Disease,Iron Deficiency,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,title,Species,Drosophila melanogaster,7227,7227,ncbi_taxonomy,True
41208638,abstract,Disease,Iron deficiency,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Disease,micronutrient deficiency,Immunologic Deficiency Syndromes,D007153,ncbi_mesh,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Disease,impaired neurological development,Developmental Disabilities,D002658,ncbi_mesh,True
41208638,abstract,Chemical,iron,Iron,D007501,ncbi_mesh,True
41208638,abstract,Species,Drosophila melanogaster,7227,7227,ncbi_taxonomy,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Chemical,deferoxamine,Deferoxamine,D003676,ncbi_mesh,True
41208638,abstract,Disease,activity,612348,612348,omim,True
41208638,abstract,Chemical,iron,Iron,D007501,ncbi_mesh,True
41208638,abstract,Gene,Malvolio,Mvl,42490,ncbi_gene,True
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True
41208638,abstract,Chemical,iron,Iron,D007501,ncbi_mesh,True
41208638,abstract,Species,fly,7227,7227,ncbi_taxonomy,True
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True
41208638,abstract,Disease,locomotor activity deficits,Mental Disorders,D001523,ncbi_mesh,True
41208638,abstract,Chemical,iron,Iron,D007501,ncbi_mesh,True
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Gene,ferritin,Fer1HCH,46415,ncbi_gene,True
41208638,abstract,Gene,Fer3HCH,Fer3HCH,32260,ncbi_gene,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
41208638,abstract,Disease,activity,612348,612348,omim,True
41208638,abstract,Chemical,iron,Iron,D007501,ncbi_mesh,True
41208638,abstract,Chemical,iron,Iron,D007501,ncbi_mesh,True
41208638,abstract,Species,Drosophila,7227,7227,ncbi_taxonomy,True
41208638,abstract,Species,Drosophila,7227,7227,ncbi_taxonomy,True
41208638,abstract,Disease,ID,Iron Deficiencies,D000090463,ncbi_mesh,True
